qID,dataset,video,_video_key,_source,timestamp_start,question,answer,answer_format,_subtmpl,_bin,fold
heico__24393,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:13,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,2.0
heico__24532,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:28,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,2.0
heico__24878,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:20,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,2.0
heico__25259,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:12,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,2.0
heico__26409,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:11,How many Clips appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,2.0
heico__26755,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:43:35,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,2.0
heico__26800,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:20,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,2.0
heico__24445,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:00:20,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,2.0
heico__24673,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:59:05,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,2.0
heico__24739,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:45:57,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,2.0
heico__24659,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:39,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,2.0
heico__25031,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:05:48,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,2.0
heico__25048,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:27,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,2.0
heico__26649,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:13:09,How many Clips appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,2.0
heico__26502,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:09:10,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,2.0
heico__26792,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:46:11,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,2.0
heico__24725,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:44:00,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,2.0
heico__24647,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:41,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,2.0
heico__24653,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:00:02,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,2.0
heico__24590,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:00,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,2.0
heico__25253,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:46:12,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,2.0
heico__25020,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:04,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,2.0
heico__26882,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:56:27,How many Clips appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,2.0
heico__26651,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:46:53,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,2.0
heico__26555,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:09:51,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,2.0
heico__24741,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:00:17,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,2.0
heico__24363,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:04,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,2.0
heico__24537,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:07,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,2.0
heico__24711,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:46:56,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,2.0
heico__25130,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:10:08,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,2.0
heico__25151,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:02,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,2.0
heico__26419,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:10:16,How many Clips appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,2.0
heico__26423,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:25,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,2.0
heico__26723,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:16,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,2.0
heico__24615,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:55:52,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,2.0
heico__24395,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:37,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,2.0
heico__24823,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:52:03,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,2.0
heico__24702,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:17,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,2.0
heico__24989,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:55:28,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,2.0
heico__24983,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:29,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,2.0
heico__26367,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:55:35,How many External drains appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,2.0
heico__26426,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:28,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,2.0
heico__26808,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:46:31,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,2.0
heico__24346,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:10:03,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,2.0
heico__24722,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:43:54,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,2.0
heico__24355,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:00:15,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,2.0
heico__24494,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:20,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,2.0
heico__24852,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:10:10,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,2.0
heico__25274,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:11,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,2.0
heico__26347,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:10:04,How many Sponges appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,2.0
heico__26833,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:48:48,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,2.0
heico__26887,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:59:10,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,2.0
heico__24359,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:39:18,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,2.0
heico__24786,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:10:34,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,2.0
heico__24509,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:29,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,2.0
heico__24420,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:33,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,2.0
heico__24882,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:24,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,2.0
heico__25133,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:42,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,2.0
heico__26358,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:39:17,How many Sponges appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,2.0
heico__26583,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:10:30,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,2.0
heico__26832,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:18,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,2.0
heico__24374,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:16,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,2.0
heico__24762,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:42,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,2.0
heico__24820,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:51:57,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,2.0
heico__24546,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:33,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,2.0
heico__24920,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:59:39,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,2.0
heico__24857,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:19,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,2.0
heico__26416,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:18,How many Clips appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,2.0
heico__26628,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:30,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,2.0
heico__26835,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:49:39,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,2.0
heico__24575,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:07:13,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,2.0
heico__24364,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:05,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,2.0
heico__24567,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:59:06,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,2.0
heico__24819,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:14,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,2.0
heico__25269,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:46:32,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,2.0
heico__25073,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:32,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,2.0
heico__26488,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:00:26,How many Clips appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,2.0
heico__26406,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:07,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,2.0
heico__26459,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:09:17,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,2.0
heico__24797,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:50:39,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,2.0
heico__24392,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:34,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,2.0
heico__24571,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:14,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,2.0
heico__24358,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:38,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,2.0
heico__25014,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:10:41,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,2.0
heico__25314,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:26,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,2.0
heico__26848,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:50:50,How many Clips appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,2.0
heico__26430,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:32,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,2.0
heico__26613,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:30,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,2.0
heico__24754,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:10:56,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,2.0
heico__24641,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:40:03,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,2.0
heico__24778,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:46:41,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,2.0
heico__24470,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:46:57,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,2.0
heico__25144,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:44:14,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,2.0
heico__24938,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:15,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,2.0
heico__26678,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:25:01,How many Clips appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,2.0
heico__26743,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:43:16,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,2.0
heico__26773,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:45:36,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,2.0
heico__24587,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:44:36,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,2.0
heico__24457,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:09:52,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,2.0
heico__24522,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:00:42,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,2.0
heico__24706,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:19,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,2.0
heico__24839,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:09:49,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,2.0
heico__25295,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:36,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,2.0
heico__26918,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:44:28,How many Silicone loops appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,2.0
heico__26600,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:09:52,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,2.0
heico__26580,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:00:06,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,2.0
heico__83549,heico,0000 - Heico - Prokto - 1.avi,heico/0000 - Heico - Prokto - 1.avi,train_92,01:30:51,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,4.0
heico__83698,heico,0000 - Heico - Prokto - 1.avi,heico/0000 - Heico - Prokto - 1.avi,train_92,01:44:13,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,4.0
heico__83988,heico,0000 - Heico - Prokto - 1.avi,heico/0000 - Heico - Prokto - 1.avi,train_92,01:29:39,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,4.0
heico__85297,heico,0000 - Heico - Prokto - 1.avi,heico/0000 - Heico - Prokto - 1.avi,train_92,01:35:15,How many Sponges appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,4.0
heico__85454,heico,0000 - Heico - Prokto - 1.avi,heico/0000 - Heico - Prokto - 1.avi,train_92,01:58:19,How many Sponges appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,4.0
heico__83815,heico,0000 - Heico - Prokto - 1.avi,heico/0000 - Heico - Prokto - 1.avi,train_92,01:57:13,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,4.0
heico__83878,heico,0000 - Heico - Prokto - 1.avi,heico/0000 - Heico - Prokto - 1.avi,train_92,01:58:21,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,4.0
heico__84214,heico,0000 - Heico - Prokto - 1.avi,heico/0000 - Heico - Prokto - 1.avi,train_92,01:44:30,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,4.0
heico__85577,heico,0000 - Heico - Prokto - 1.avi,heico/0000 - Heico - Prokto - 1.avi,train_92,02:01:06,How many Sponges appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,4.0
heico__85660,heico,0000 - Heico - Prokto - 1.avi,heico/0000 - Heico - Prokto - 1.avi,train_92,01:44:13,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,4.0
heico__83884,heico,0000 - Heico - Prokto - 1.avi,heico/0000 - Heico - Prokto - 1.avi,train_92,02:10:15,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,4.0
heico__83700,heico,0000 - Heico - Prokto - 1.avi,heico/0000 - Heico - Prokto - 1.avi,train_92,01:44:15,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,4.0
heico__84108,heico,0000 - Heico - Prokto - 1.avi,heico/0000 - Heico - Prokto - 1.avi,train_92,02:09:54,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,4.0
