answer_format,n,n_distinct_answers,trivial_floor,modal_answer,template
open_ended,2,2,0.5,Lower left abdominal quadrant.,In which abdominal quadrant is the sponge located before becoming not visible for >1 min? 
open_ended,2,1,1.0,Fully recognizable.,How clearly visible are the defining visual features of the needle in this frame? Please p
open_ended,2,2,0.5,"specimen, clip.",Which foreign object class is partially occluded or not fully visible due to an instrument
open_ended,2,2,0.5,Needle.,Which foreign object is not fully visible due to an instrument in this frame? Please provi
open_ended,2,2,0.5,Mesorectum.,Which structure is the sponge in contact with before disappearing for over a minute? Pleas
open_ended,2,2,0.5,Yes.,Is the silicone loop currently grasped by an instrument? Please answer with 'yes' or 'no'.
open_ended,2,2,0.5,No.,Is the specimen bag currently grasped by an instrument? Please answer with 'yes' or 'no'.
open_ended,2,1,1.0,Yes.,Is the specimen bag visible in this frame currently grasped by an instrument? Please answe
open_ended,2,2,0.5,Silicone loop.,Which other foreign object is partially occluded by an anatomical structure in this frame?
open_ended,2,2,0.5,Yes.,Is the specimen currently grasped by an instrument? Please answer with 'yes' or 'no'.
open_ended,2,2,0.5,Needle.,Which foreign object is partially occluded by an instrument in this frame? Please provide 
open_ended,2,2,0.5,Lower left abdominal quadrant.,In which abdominal quadrant is the sponge located before being not visible for >1 min? Ple
open_ended,2,2,0.5,Dorsal.,"Relative to the patient's rectum, where is the foreign object placed in this video? Please"
open_ended,2,2,0.5,(Small) pelvis.,In which abdominal quadrant is the sponge located before being not visible for >1 min? Ple
open_ended,2,2,0.5,No.,Is the needle currently grasped by an instrument in this frame? Please answer with 'yes' o
open_ended,2,1,1.0,Lower left abdominal quadrant.,In which abdominal quadrant is the sponge located before being not visible for >1 min? Ple
open_ended,2,2,0.5,specimen bag.,Which foreign object class is partially occluded by an instrument in this frame? Please pr
open_ended,2,1,1.0,(small) pelvis.,In which abdominal quadrant is the sponge located before being not visible for >1 min? Ple
open_ended,2,1,1.0,No.,Is the external drain in this frame grasped by an instrument? Please answer with 'yes' or 
open_ended,2,1,1.0,specimen.,Which foreign-object class is partially occluded or not fully visible due to an anatomical
open_ended,2,2,0.5,clip.,Which foreign-object class is partially occluded or not fully visible due to an instrument
open_ended,2,2,0.5,Small intestine.,Which single structure is the Silicone Loop in contact with before being not visible for >
open_ended,2,2,0.5,Yes.,Is the silicone loop currently grasped by an instrument in this frame? Please answer with 
open_ended,2,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the sponge located before it is no longer visible for >1 mi
open_ended,2,2,0.5,"Silicone loop, external drain.",Which foreign objects are partially occluded by an anatomical structure in this frame? Ple
open_ended,2,2,0.5,"Silicone loop, clip.",Which foreign objects are partially occluded by an instrument in this frame? Please provid
open_ended,2,2,0.5,Right upper abdominal quadrant.,In which abdominal quadrant is the sponge located before it becomes not visible for more t
open_ended,2,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the sponge located before it is no longer visible for >1 mi
binary,2,1,1.0,yes,Do Clips and Gallstones co-occur in this frame? Please answer with yes or no.
binary,2,1,1.0,yes,Do External drains and Needles co-occur in this frame? Please answer with yes or no.
open_ended,2,1,1.0,No.,There is one specimen visible in this frame. Is this specimen currently grasped by an inst
open_ended,2,1,1.0,No.,There is one sponge visible in this frame. Is this foreign object currently grasped by an 
open_ended,2,1,1.0,Lower left abdominal quadrant.,In which abdominal quadrant is the sponge located before being not visible for more than 1
open_ended,1,1,1.0,sponge.,Which foreign object class is partially occluded by an anatomical structure in this frame?
open_ended,1,1,1.0,clip.,Which foreign object class is partially occluded by anatomy in this frame? Please provide 
open_ended,1,1,1.0,sponge.,Which foreign object class is partially occluded by an instrument? Please provide the clas
open_ended,1,1,1.0,sponge.,Which foreign object class is partially occluded by an instrument in this frame? Please pr
open_ended,1,1,1.0,sponge.,Which foreign object class is partially occluded by an anatomical structure in this frame?
open_ended,1,1,1.0,specimen.,Which foreign object class is partially occluded by an anatomical structure in this frame?
open_ended,1,1,1.0,specimen.,Which foreign object class is partially occluded by an anatomical structure in this frame?
open_ended,1,1,1.0,specimen.,Which foreign object class is partially occluded by an instrument in this frame? Please pr
open_ended,1,1,1.0,"sponge, clip.",Which foreign object classes are partially occluded or not fully visible due to an anatomi
open_ended,1,1,1.0,No; the clip is removed when the specime,Does the clip placed on the specimen remain intra-abdominal at the end of the procedure? P
open_ended,1,1,1.0,specimen.,Which foreign object class is partially occluded by an instrument in this frame? Please pr
open_ended,1,1,1.0,specimen.,Which foreign object class is partially occluded by an anatomical structure in this frame?
open_ended,1,1,1.0,Sponge.,Which foreign object class is partially occluded in this frame? Please provide the class n
open_ended,1,1,1.0,Cystic duct.,Which anatomical structure is the gallstone retrieved from? Please provide a single anatom
open_ended,1,1,1.0,specimen. Errors: Corrected awkward phra,Which foreign object class is partially occluded or not fully visible because it is blocke
open_ended,1,1,1.0,"sponge, specimen.",Which foreign object classes are partially occluded or not fully visible behind an instrum
open_ended,1,1,1.0,specimen.,Which foreign object class is partially occluded or not fully visible because of an anatom
open_ended,1,1,1.0,"specimen, specimen bag.",Which foreign object classes are partially occluded by an instrument in this frame? Please
open_ended,1,1,1.0,"sponge, clip.",Which foreign object classes are partially occluded by an anatomical structure in this fra
open_ended,1,1,1.0,external drain.,Which foreign object class is partially occluded by an instrument in this frame? Please pr
open_ended,1,1,1.0,"specimen, specimen bag.",Which foreign object class is partially occluded or not fully visible because of an instru
open_ended,1,1,1.0,sponge.,Which foreign object class is partially occluded or not fully visible because of an instru
open_ended,1,1,1.0,"specimen, foreign object.",Which foreign object class is partially occluded or not fully visible due to an anatomical
open_ended,1,1,1.0,specimen.,Which foreign object class is partially occluded or not fully visible by an anatomical str
open_ended,1,1,1.0,specimen.,Which foreign object class is partially occluded or not fully visible by an anatomical str
open_ended,1,1,1.0,specimen bag.,Which foreign object class is partially occluded (not fully visible) due to an anatomical 
open_ended,1,1,1.0,Common bile duct.,What is the closest anatomical structure that the clips could be mistakenly applied to due
open_ended,1,1,1.0,Blood-stained.,What is the condition of the sponge seen in this time frame?
open_ended,1,1,1.0,No soakage is present.,What is the condition of the sponge seen in this timeframe? Please answer with a single so
open_ended,1,1,1.0,Soaked.,What is the condition of the sponge seen in this timeframe? Please answer with one word de
open_ended,1,1,1.0,"Polymer, white.",What is the material and color of the clip used on the nonvascular structure in this video
open_ended,1,1,1.0,Small bowel.,What is the silicone loop encircling in this video? Please provide an anatomical structure
open_ended,1,1,1.0,Soaked.,What is the state of the sponge seen in this time frame? Please answer with exactly one of
open_ended,1,1,1.0,Partially soaked.,What is the state of the sponge seen in this timeframe? Only answer if a sponge is visible
open_ended,1,1,1.0,Metal.,What material is the clip placed on the silicone loop? Please answer with one word.
open_ended,1,1,1.0,Yes.,Does the foreign object in this video frame remain intra-abdominal at the end of the proce
open_ended,1,1,1.0,Rectum.,What specimen has been placed in this specimen bag? Please provide the name of an organ or
open_ended,1,1,1.0,Cystic artery.,What structure have these clips been placed on? Please provide a single anatomical structu
open_ended,1,1,1.0,Small bowel.,What structure is being clipped in this frame? Please provide an anatomical structure.
open_ended,1,1,1.0,Uterus.,What structure is being sutured in the video? Please provide an anatomical structure.
open_ended,1,1,1.0,Mesorectum.,What structure is the sponge in contact with before disappearing for >1 min? Please provid
open_ended,1,1,1.0,Small intestine.,What structure is the sponge in contact with before it becomes not visible for >1 min? Ple
open_ended,1,1,1.0,"proximal: 2, distal: 1.","How many clips are placed proximally and distally on the non-vascular structure (proximal,"
open_ended,1,1,1.0,"3, 1.",How many clips are placed proximally and distally on the nonvascular structure? Answer as 
open_ended,1,1,1.0,"2,1.",How many clips are placed proximally and distally on the nonvascular structure? Answer as 
open_ended,1,1,1.0,"2, 1.",How many clips are placed proximally and distally on the nonvascular structure? Please ans
open_ended,1,1,1.0,Liver.,What single organ is this sponge in contact with? Please provide exactly one organ name (s
open_ended,1,1,1.0,specimen.,Which foreign object class is partially occluded by an instrument in this frame? Please pr
open_ended,1,1,1.0,clip.,Which foreign object class is partially occluded by an instrument in this frame? Please pr
open_ended,1,1,1.0,specimen.,Which foreign object class is partially occluded by an instrument in this frame? Please pr
open_ended,1,1,1.0,specimen.,Which foreign object class is partially occluded by an instrument in this frame? Please pr
open_ended,1,1,1.0,Silicone loop.,Which foreign object class is partially occluded by an instrument in this frame? Please pr
open_ended,1,1,1.0,"specimen, specimen bag.",Which foreign object class is partially occluded by an instrument in this frame? Please pr
open_ended,1,1,1.0,"None, this is a dropped clip.",What structure is this clip attached to? Please provide an anatomical structure or answer 
open_ended,1,1,1.0,Left ureter.,What structure is this silicone vessel loop encircling? Please provide the anatomical stru
open_ended,1,1,1.0,Small bowel.,What structure is this suture attached to? Please provide an anatomical structure.
open_ended,1,1,1.0,Robinson drain.,What type of drainage is inserted in the video? Please provide a single word.
open_ended,1,1,1.0,Perirectal fat.,Which additional structure does the sponge contact in this video? Please provide a single 
open_ended,1,1,1.0,distal cystic duct.,Where is the first clip placed in this clip (structure + distal/proximal)? Please provide 
open_ended,1,1,1.0,Proximal cystic duct.,Where is the first clip placed in this clip (structure and distal/proximal)? Please provid
open_ended,1,1,1.0,"Cystic artery, proximal.",Where is the first clip placed in this clip (structure and distal/proximal)? Please provid
open_ended,1,1,1.0,"Cystic artery, proximal.",Where is the first clip placed in this clip (structure and distal/proximal)? Please provid
open_ended,1,1,1.0,Proximal cystic duct.,Where is the first clip placed in this clip (structure and proximal/distal)? Please answer
open_ended,1,1,1.0,Proximal cystic duct.,Where is the first clip placed in this clip (structure and proximal/distal)? Please provid
open_ended,1,1,1.0,"Cystic artery, proximal.",Where is the first clip placed in this clip (structure and proximal/distal)? Please provid
open_ended,1,1,1.0,Proximal cystic duct.,Where is the first foreign object placed in this clip? Please answer with an anatomical st
open_ended,1,1,1.0,inside specimen bag.,Where is the specimen in this frame? Please answer with the specimen’s containment status 
open_ended,1,1,1.0,Lower left abdominal quadrant.,Where is the sponge located before becoming not visible for more than one minute? Please p
open_ended,1,1,1.0,Small pelvis.,Where is the drain placed in this frame? Please provide an anatomical region.
open_ended,1,1,1.0,Sigmoid colon.,Which single structure is the sponge in contact with before being not visible for >1 min i
open_ended,1,1,1.0,Mesentery.,Which single structure is the sponge in contact with before being not visible for >1min? P
open_ended,1,1,1.0,Mesentery.,Which single structure is the sponge in contact with before being not visible for more tha
open_ended,1,1,1.0,Mesentery.,Which single structure is the sponge in contact with before being not visible for more tha
open_ended,1,1,1.0,Sacrum.,Which single structure is the sponge in contact with before being not visible for over 1 m
open_ended,1,1,1.0,Sacrum.,Which single structure is the sponge in contact with before it disappears for over 1 minut
open_ended,1,1,1.0,Liver.,Which single structure is the sponge in contact with before it is no longer visible for > 
open_ended,1,1,1.0,Liver.,Which single structure is the sponge in contact with before it is no longer visible for >1
open_ended,1,1,1.0,liver.,Which single structure is the sponge in contact with before it is no longer visible for >1
open_ended,1,1,1.0,External drain should not be removed.,Are there any foreign objects in this frame that should not be removed before the end of t
open_ended,1,1,1.0,The small intestine.,Which organ is tied with a silicone loop in this video? Please provide the name of an orga
open_ended,1,1,1.0,Sponge.,Which other foreign object is partially occluded by an anatomical structure in this frame?
open_ended,1,1,1.0,Silicone loop.,Which other foreign object is partially occluded by an instrument in this frame? Please pr
open_ended,1,1,1.0,Mesorectum.,Which other structure is the sponge in contact with in this video? Please provide an anato
open_ended,1,1,1.0,Mesorectum.,Which other structures is the sponge in contact with before disappearing for >1 min? Pleas
open_ended,1,1,1.0,Small intestine.,Which single structure is the Silicone Loop in contact with before becoming not visible fo
open_ended,1,1,1.0,Small intestine.,Which single structure is the Silicone Loop in contact with before being not visible for m
open_ended,1,1,1.0,Small intestine (ileum).,Which single structure is the external drain in contact with before being not visible for 
open_ended,1,1,1.0,No.,A specimen bag is visible in this frame. Is this foreign object currently grasped by an in
open_ended,1,1,1.0,"Yes, an external drain and a clip.",Are there any foreign objects in this frame <TS> which should not be removed before the en
open_ended,1,1,1.0,Liver.,Which single structure is the sponge in contact with before it is no longer visible for >1
open_ended,1,1,1.0,Liver.,Which single structure is the sponge in contact with before it is no longer visible for >1
open_ended,1,1,1.0,Cystic duct.,Which single structure is the sponge in contact with before it is no longer visible for mo
open_ended,1,1,1.0,Liver.,Which single structure is the sponge in contact with before it is no longer visible for mo
open_ended,1,1,1.0,Rectal stump.,Which single structure is the sponge in contact with in this video? Please provide a singl
open_ended,1,1,1.0,Mesorectum (left posterior mesorectal pl,Which structure does the sponge contact before becoming invisible for >1 minute? Please pr
open_ended,1,1,1.0,Ureter.,Which structure is the Silicone Loop in contact with before being not visible for >1 min? 
open_ended,1,1,1.0,Small intestine.,Which structure is the Silicone Loop in contact with before disappearing for more than one
open_ended,1,1,1.0,Small intestine.,Which structure is the Silicone Loop in contact with before disappearing for over 1 minute
open_ended,1,1,1.0,Descending colon.,Which structure is the external drain in contact with before being not visible for >1 min?
open_ended,1,1,1.0,Rectum.,Which single structure is the sponge in contact with before becoming not visible for over 
open_ended,1,1,1.0,Small intestine.,Which structure is the silicone loop in contact with before disappearing for more than 1 m
open_ended,1,1,1.0,Left ureter.,With which structure is the silicone loop in contact before it disappears for more than 1 
open_ended,1,1,1.0,Mesentery.,With which structure is the sponge in contact before disappearing for over 1 minute in the
open_ended,1,1,1.0,Sigmoid colon.,With which structure is the sponge in contact before it becomes invisible for more than 1 
open_ended,1,1,1.0,Descending colon.,With which structure is the sponge in contact before it disappears for over 1 minute? Plea
open_ended,1,1,1.0,Ureter.,Which single structure is the silicone loop in contact with before becoming not visible fo
open_ended,1,1,1.0,Small bowel mesentery.,Which single structure is the silicone loop in contact with before being not visible for >
open_ended,1,1,1.0,Cystic duct.,Which single structure is the silicone loop in contact with before it is no longer visible
open_ended,1,1,1.0,Cystic duct.,Which single structure is the silicone loop in contact with before it is no longer visible
open_ended,1,1,1.0,Liver.,Which single structure is the specimen bag in contact with before it is no longer visible 
open_ended,1,1,1.0,Descending colon.,Which structure is the silicone loop in contact with before being not visible for over 1 m
open_ended,1,1,1.0,"specimen, specimen bag.",Which foreign object classes are partially occluded or not fully visible due to an instrum
open_ended,1,1,1.0,"sponge, clip.",Which foreign object classes are partially occluded or not fully visible due to an instrum
open_ended,1,1,1.0,Silicone loop.,Which foreign object is not fully visible due to an instrument occlusion in this frame? Pl
open_ended,1,1,1.0,Silicone loop.,Which foreign object is not fully visible due to anatomical structure in this frame? Pleas
open_ended,1,1,1.0,Silicone loop.,Which foreign object is partially occluded by an anatomical structure in this frame? Pleas
open_ended,1,1,1.0,External Drain.,Which foreign object is partially occluded by an anatomical structure in this frame? Pleas
open_ended,1,1,1.0,Silicone loop.,Which foreign object is partially occluded in this frame? Please provide the class name(s)
open_ended,1,1,1.0,Sponge.,Are there any foreign objects in this frame that must be removed before the end of the sur
open_ended,1,1,1.0,"Yes, an external drain.",Are there any foreign objects in this frame that should not be removed before the end of s
open_ended,1,1,1.0,Metal clips.,Are there any foreign objects in this frame not to be removed before surgery ends? Please 
open_ended,1,1,1.0,"Yes, an external drain.",Are there any foreign objects in this frame that should not be removed before the end of t
open_ended,1,1,1.0,"Yes, clip, external drain.",Are there any foreign objects in this frame that should not be removed before the end of t
open_ended,1,1,1.0,Yes.,There is one external drain visible in this frame. Is this foreign object currently being 
open_ended,1,1,1.0,External drain.,Are there any foreign objects in this frame that should not be removed before the end of t
open_ended,1,1,1.0,"Yes, an external drain.",Are there any foreign objects in this frame which should not be removed before the end of 
open_ended,1,1,1.0,External drain.,Are there foreign object(s) in this frame to be retained until surgery ends? Please provid
open_ended,1,1,1.0,no.,"At the end of the procedure, does the foreign object visible in the frame remain intra-abd"
open_ended,1,1,1.0,Partially deployed.,"At the introduction, is the specimen bag fully furled, partially deployed, or already open"
open_ended,1,1,1.0,liver: inferior; gallbladder: lateral.,Describe the location of the sponge relative to the liver and gallbladder? Please provide 
open_ended,1,1,1.0,yes.,Do the metal clips remain intra-abdominal at the end of the surgery? Please answer with 'y
open_ended,1,1,1.0,"Yes, external drain, clip.",Are there any foreign objects in this frame that should not be removed before the end of s
open_ended,1,1,1.0,Liver.,Which single structure is the gallstone in contact with before it is no longer visible for
open_ended,1,1,1.0,Liver.,Which single structure is the gallstone in contact with before it is no longer visible for
open_ended,1,1,1.0,Liver.,Which single structure is the gallstone in contact with before it is no longer visible for
open_ended,1,1,1.0,"Silicone loop, external drain.",Which foreign objects are partially occluded by anatomy in this frame? Please provide the 
open_ended,1,1,1.0,sponge.,Which foreign objects are partially occluded due to an anatomical structure in this frame?
open_ended,1,1,1.0,specimen.,Which foreign-object class is partially occluded (not fully visible) by an anatomical stru
open_ended,1,1,1.0,clip.,Which foreign-object class is partially occluded by an anatomical structure in this frame?
open_ended,1,1,1.0,none.,Which foreign-object class is partially occluded or not fully visible because of an anatom
open_ended,1,1,1.0,Specimen.,Which foreign-object class is partially occluded or not fully visible because of an instru
open_ended,1,1,1.0,specimen.,Which foreign-object class is partially occluded or not fully visible due to an instrument
open_ended,1,1,1.0,"external drain, specimen bag.",Which foreign object classes are partially occluded or not fully visible due to an instrum
open_ended,1,1,1.0,"sponge, specimen.",Which foreign-object classes are partially occluded or not fully visible due to an instrum
open_ended,1,1,1.0,No.,Which of the foreign object classes are partially occluded or not fully visible because of
open_ended,1,1,1.0,specimen.,Which of the foreign object classes is partially occluded or not fully visible because of 
open_ended,1,1,1.0,none.,Which of the foreign object classes is partially occluded or not fully visible due to an a
open_ended,1,1,1.0,none.,Which of the foreign object classes is partially occluded or not fully visible due to an i
open_ended,1,1,1.0,Liver.,Which organ is interposed between the sponge and the specimen bag? Please provide a single
open_ended,1,1,1.0,"sponge, clip.",Which foreign object classes are partially occluded or not fully visible due to an anatomi
open_ended,1,1,1.0,"sponge, specimen bag.",Which foreign object classes are partially occluded or not fully visible due to an anatomi
open_ended,1,1,1.0,"clip, sponge, specimen.",Which foreign object classes are partially occluded or not fully visible due to an anatomi
open_ended,1,1,1.0,"sponge, clip.",Which foreign object classes are partially occluded or not fully visible due to an anatomi
open_ended,1,1,1.0,"sponge, clip.",Which foreign-object classes are partially occluded or not fully visible due to an anatomi
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the gallstone located before it is not visible for >1 min? 
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the gallstone located before it is not visible for >1 min? 
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the gallstone located before it is not visible for >1 min? 
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the gallstone located before it is not visible for >1 min? 
open_ended,1,1,1.0,Lower right abdominal quadrant.,In which abdominal quadrant is the needle located before becoming not visible for >1 min? 
open_ended,1,1,1.0,Lower right abdominal quadrant.,In which abdominal quadrant is the silicone loop located before being not visible for over
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the silicone loop located before it is not visible for >1 m
open_ended,1,1,1.0,upper right abdominal quadrant.,In which abdominal quadrant is the specimen bag located before it is no longer visible for
open_ended,1,1,1.0,upper right abdominal quadrant.,In which abdominal quadrant is the specimen bag located before it is not visible for >1 mi
open_ended,1,1,1.0,No.,The external drain is visible in this frame. Is it currently grasped by an instrument? Ple
open_ended,1,1,1.0,upper right abdominal quadrant.,In which abdominal quadrant is the specimen located before it is not visible for >1 min? A
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the specimen located before it is not visible for >1 min? P
open_ended,1,1,1.0,(small) pelvis.,In which abdominal quadrant is the sponge located before becoming invisible for >1 min? Pl
open_ended,1,1,1.0,Upper left abdominal quadrant.,In which abdominal quadrant is the sponge located before becoming not visible for >1 min? 
open_ended,1,1,1.0,Lower left abdominal quadrant.,In which abdominal quadrant is the sponge located before becoming not visible for >1 min? 
