qID,gold,a2,base,base_correct,dataset,video
heico__2405191,Clip,Sponge,Sponge,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405192,Clip,Sponge,Sponge,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405193,Clip,Sponge,Gallstone,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405194,Clip,Sponge,Gallstone,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405195,Clip,Sponge,Gallstone,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405196,Clip,Sponge,Sponge,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405197,Clip,Sponge,Specimen,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405198,Clip,Sponge,Sponge,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405204,Clip,Sponge,Silicone Loop,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405209,Clip,Sponge,Clip,True,heico,0025 - Heico - Sigma - 6.avi
heico__2405211,Clip,Sponge,Specimen,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405212,Clip,Sponge,Clip,True,heico,0025 - Heico - Sigma - 6.avi
heico__2405213,Clip,Sponge,Sponge,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405222,Clip,Sponge,Sponge,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405223,Clip,Sponge,Sponge,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405225,Clip,Sponge,Sponge,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405227,Clip,Sponge,Silicone Loop,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405232,Clip,Sponge,Sponge,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405236,Clip,Sponge,Sponge,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405864,Clip,Sponge,none,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405869,Clip,Sponge,none,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405870,Clip,Sponge,none,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405872,Clip,Sponge,none,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405873,Clip,Sponge,none,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405874,Clip,Sponge,none,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405879,Clip,Sponge,none,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405881,Clip,Sponge,none,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405883,Clip,Sponge,none,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405892,Clip,Sponge,none,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405899,Clip,Sponge,none,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405900,Clip,Sponge,none,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405902,Clip,Sponge,none,False,heico,0025 - Heico - Sigma - 6.avi
heico__2482815,Sponge,Clip,Sponge,True,heico,0026 - Heico - Sigma - 7.avi
heico__2482859,Clip,Sponge,Sponge,False,heico,0026 - Heico - Sigma - 7.avi
heico__2482861,Clip,Sponge,Sponge,False,heico,0026 - Heico - Sigma - 7.avi
heico__2482985,Sponge,Clip,Specimen,False,heico,0026 - Heico - Sigma - 7.avi
heico__2495327,Clip,Sponge,Gallstone,False,heico,0026 - Heico - Sigma - 7.avi
heico__2495332,Clip,Sponge,Sponge,False,heico,0026 - Heico - Sigma - 7.avi
heico__2495333,Clip,Sponge,Silicone Loop,False,heico,0026 - Heico - Sigma - 7.avi
heico__2495336,Clip,Sponge,Sponge,False,heico,0026 - Heico - Sigma - 7.avi
heico__2495339,Clip,Sponge,Specimen,False,heico,0026 - Heico - Sigma - 7.avi
heico__2495346,Clip,Sponge,Specimen,False,heico,0026 - Heico - Sigma - 7.avi
heico__2495386,Clip,Sponge,Specimen,False,heico,0026 - Heico - Sigma - 7.avi
heico__2495391,Clip,Sponge,Specimen,False,heico,0026 - Heico - Sigma - 7.avi
heico__2495396,Clip,Sponge,Sponge,False,heico,0026 - Heico - Sigma - 7.avi
heico__2495397,Clip,Sponge,Specimen,False,heico,0026 - Heico - Sigma - 7.avi
heico__2495400,Clip,Sponge,Gallstone,False,heico,0026 - Heico - Sigma - 7.avi
heico__2495402,Clip,Sponge,Specimen,False,heico,0026 - Heico - Sigma - 7.avi
heico__2495406,Clip,Sponge,Specimen,False,heico,0026 - Heico - Sigma - 7.avi
heico__2528939,Clip,Sponge,none,False,heico,0027 - Heico - Sigma - 8.avi
heico__2529203,Clip,Sponge,none,False,heico,0027 - Heico - Sigma - 8.avi
heico__2569522,Sponge,Clip,Specimen,False,heico,0027 - Heico - Sigma - 8.avi
heico__2615448,Sponge,Clip,Sponge,True,heico,0028 - Heico - Sigma - 9.avi
heico__2618667,Sponge,Clip,none,False,heico,0028 - Heico - Sigma - 9.avi
heico__2657581,Sponge,Clip,Sponge,True,heico,0028 - Heico - Sigma - 9.avi
heico__2657596,Clip,Sponge,Specimen,False,heico,0028 - Heico - Sigma - 9.avi
heico__2673208,Clip,Sponge,Harmonic,False,heico,0028 - Heico - Sigma - 9.avi
heico__2673209,Clip,Sponge,Sponge,False,heico,0028 - Heico - Sigma - 9.avi
heico__2673211,Clip,Sponge,Sponge,False,heico,0028 - Heico - Sigma - 9.avi
heico__2673213,Clip,Sponge,Harmonic device,False,heico,0028 - Heico - Sigma - 9.avi
lapchole__1129934,Clip,Sponge,Silicone Loop,False,lapchole,0027 - Laparoscopic Cholecystectomy.mp4
lapchole__1177630,Clip,Sponge,Specimen,False,lapchole,0028 - Laparoscopic Cholecystectomy.mp4
lapchole__134160,Sponge,Clip,Clip,False,lapchole,0004 - Laparoscopic Cholecystectomy.mp4
lapchole__1898185,Clip,Sponge,Sponge,False,lapchole,0048 - Laparoscopic Cholecystectomy.mp4
lapchole__2487257,Sponge,Clip,Sponge,True,lapchole,0060 - Laparoscopic Cholecystectomy.mp4
lapchole__2512881,Sponge,Clip,none,False,lapchole,0061 - Laparoscopic Cholecystectomy.mp4
lapchole__2947243,Sponge,Clip,Needle,False,lapchole,0072 - Laparoscopic Cholecystectomy.mp4
lapchole__2961544,Clip,Sponge,Sponge,False,lapchole,0072 - Laparoscopic Cholecystectomy.mp4
lapchole__2961545,Clip,Sponge,Sponge,False,lapchole,0072 - Laparoscopic Cholecystectomy.mp4
lapchole__4700738,Sponge,Clip,none,False,lapchole,0158 - Laparoscopic Cholecystectomy.mp4
lapchole__4950776,Sponge,Clip,Specimen,False,lapchole,0183 - Laparoscopic Cholecystectomy.mp4
lapchole__4962712,Clip,Sponge,Specimen,False,lapchole,0183 - Laparoscopic Cholecystectomy.mp4
lapchole__4962738,Clip,Sponge,Absorbable Hemostatic Agent,False,lapchole,0183 - Laparoscopic Cholecystectomy.mp4
lapchole__616970,Sponge,Clip,Clip,False,lapchole,0017 - Laparoscopic Cholecystectomy.mp4
lapchole__685532,Clip,Sponge,Sponge,False,lapchole,0017 - Laparoscopic Cholecystectomy.mp4
lapchole__733714,Sponge,Clip,Sponge,True,lapchole,0019 - Laparoscopic Cholecystectomy.mp4
