qID,dataset,video,_video_key,timestamp_start,question,answer,answer_format,_subtmpl,_nclasses
heico__2226968,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:12:55,How many different foreign object instances appear in this frame? Please provide a number.,11,number,n_instances_total,
heico__2227141,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:10,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,
heico__2227277,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:08:38,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,
heico__2227348,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:09:32,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,
heico__2226970,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:07:07,How many different foreign object instances appear in this frame? Please provide a number.,5,number,n_instances_total,
heico__2227110,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:11:53,How many different foreign object instances appear in this frame? Please provide a number.,6,number,n_instances_total,
heico__2226933,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:12:09,How many different foreign object instances appear in this frame? Please provide a number.,7,number,n_instances_total,
heico__2227006,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:11:35,How many different foreign object instances appear in this frame? Please provide a number.,8,number,n_instances_total,
heico__2227164,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:09,How many different foreign object instances appear in this frame? Please provide a number.,9,number,n_instances_total,
heico__2227369,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:04:12,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,
heico__2227843,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:13,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,
heico__2228868,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:04:11,How many Sponges appear in this frame? Please provide a number.,1,number,n_instances_per_class,
heico__2229829,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:20,How many Clips appear in this frame? Please provide a number.,10,number,n_instances_per_class,
heico__2229807,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:12:53,How many Clips appear in this frame? Please provide a number.,11,number,n_instances_per_class,
heico__2229826,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:17,How many Clips appear in this frame? Please provide a number.,12,number,n_instances_per_class,
heico__2229592,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:09:08,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,
heico__2229636,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:09:55,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,
heico__2229553,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:08:29,How many Clips appear in this frame? Please provide a number.,4,number,n_instances_per_class,
heico__2229498,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:07:13,How many Clips appear in this frame? Please provide a number.,5,number,n_instances_per_class,
heico__2229757,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:12:03,How many Clips appear in this frame? Please provide a number.,6,number,n_instances_per_class,
heico__2229740,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:11:46,How many Clips appear in this frame? Please provide a number.,7,number,n_instances_per_class,
heico__2229781,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:12:27,How many Clips appear in this frame? Please provide a number.,8,number,n_instances_per_class,
heico__2229818,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:09,How many Clips appear in this frame? Please provide a number.,9,number,n_instances_per_class,
heico__2233594,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:04:11,Do External drains and Sponges co-occur in this frame? Please answer with yes or no.,no,binary,,
heico__2234459,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:37,Do Clips and Sponges co-occur in this frame? Please answer with yes or no.,yes,binary,,
heico__2245758,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:56:41,Are all visible foreign objects in this frame of the same class? Please answer with yes or no.,no,binary,,
heico__2245892,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:09:18,Are all visible foreign objects in this frame of the same class? Please answer with yes or no.,yes,binary,,
heico__2211542,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:53,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0
heico__2219582,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:07:54,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1.0
heico__2219873,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:05,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,fo_class,,1.0
heico__2219647,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:49:41,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,fo_class,,1.0
heico__2222091,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:09:59,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,fo_class,,1.0
heico__2222095,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:49,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0
heico__2222020,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:05,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,fo_class,,1.0
heico__2222028,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:53:54,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,fo_class,,1.0
heico__2250751,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:14:51,What class is the foreign object located in the bottom/left relative to the image center? Please provide a class name.,Clip,fo_class,,1.0
heico__2250719,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:41,What class is the foreign object located in the top/left relative to the image center? Please provide a class name.,External drain,fo_class,,1.0
heico__2250767,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:45:21,What class is the foreign object located in the bottom/right relative to the image center? Please provide a class name.,Sponge,fo_class,,1.0
heico__2681790,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:21:05,Which foreign object is partially occluded by an anatomical structure in this frame? Please provide the class name(s) or answer 'none'.,Clip.,open_ended,,
heico__2244559,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:50:17,"At timepoint 00:50:17 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where number represents an enumeration starting with 1, object type is the type of the foreign object and quadrant is one of the following options: top/left, top/right, bottom/left, bottom/right. Respond “none” in case there are no foreign objects present at timepoint 00:50:17. For example: 1. Sponge: top/left 2. Sponge: top/right 3. Needle: bottom/left",1. Sponge: bottom/right,open_ended,,
heico__2262235,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:59:07,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Clip,fo_class,,1.0
heico__2262249,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:20:47,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Sponge,fo_class,,1.0
heico__2267082,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:42,Where is the center of the External drain located relative to the image center in this frame? Please select one answer: top/left; top/right; bottom/left; bottom/right,top/left,multiple_choice,,
heico__2681981,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:59:08,In which abdominal quadrant is the sponge located before being not visible for >1 min? Please provide an anatomical quadrant.,(small) pelvis.,open_ended,,
heico__2227262,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:54:42,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,
heico__2227225,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:32,How many different foreign object instances appear in this frame? Please provide a number.,10,number,n_instances_total,
heico__2226902,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:30,How many different foreign object instances appear in this frame? Please provide a number.,11,number,n_instances_total,
heico__2227240,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:50,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,
heico__2227291,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:21:01,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,
heico__2227340,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:20:53,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,
heico__2227284,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:21:19,How many different foreign object instances appear in this frame? Please provide a number.,5,number,n_instances_total,
heico__2227322,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:27,How many different foreign object instances appear in this frame? Please provide a number.,6,number,n_instances_total,
heico__2226941,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:12:11,How many different foreign object instances appear in this frame? Please provide a number.,7,number,n_instances_total,
heico__2227209,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:24,How many different foreign object instances appear in this frame? Please provide a number.,8,number,n_instances_total,
heico__2227144,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:06,How many different foreign object instances appear in this frame? Please provide a number.,9,number,n_instances_total,
heico__2227601,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:52:01,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,
heico__2227564,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:41,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,
heico__2229231,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:54:11,How many Sponges appear in this frame? Please provide a number.,1,number,n_instances_per_class,
heico__2229846,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:37,How many Clips appear in this frame? Please provide a number.,10,number,n_instances_per_class,
heico__2229839,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:30,How many Clips appear in this frame? Please provide a number.,11,number,n_instances_per_class,
heico__2229828,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:19,How many Clips appear in this frame? Please provide a number.,12,number,n_instances_per_class,
heico__2229778,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:20:12,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,
heico__2229645,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:21:32,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,
heico__2229491,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:21:19,How many Clips appear in this frame? Please provide a number.,4,number,n_instances_per_class,
heico__2229570,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:08:46,How many Clips appear in this frame? Please provide a number.,5,number,n_instances_per_class,
heico__2229847,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:38,How many Clips appear in this frame? Please provide a number.,6,number,n_instances_per_class,
heico__2229837,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:28,How many Clips appear in this frame? Please provide a number.,7,number,n_instances_per_class,
heico__2229831,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:22,How many Clips appear in this frame? Please provide a number.,8,number,n_instances_per_class,
heico__2229842,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:33,How many Clips appear in this frame? Please provide a number.,9,number,n_instances_per_class,
heico__2234352,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:52:26,Do Clips and Sponges co-occur in this frame? Please answer with yes or no.,no,binary,,
heico__2234534,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:59:07,Do Clips and Sponges co-occur in this frame? Please answer with yes or no.,yes,binary,,
heico__2245802,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:42,Are all visible foreign objects in this frame of the same class? Please answer with yes or no.,no,binary,,
heico__2246147,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:19:16,Are all visible foreign objects in this frame of the same class? Please answer with yes or no.,yes,binary,,
heico__2211602,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:21:42,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0
heico__2219964,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:22:14,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1.0
heico__2219907,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:08,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,fo_class,,1.0
heico__2219777,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:59:05,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,fo_class,,1.0
heico__2221756,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:20:52,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,fo_class,,1.0
heico__2221883,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:21:14,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0
heico__2222108,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:41,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,fo_class,,1.0
heico__2221712,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:46,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,fo_class,,1.0
heico__2250681,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:09:01,What class is the foreign object located in the top/left relative to the image center? Please provide a class name.,Clip,fo_class,,1.0
heico__2250720,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:42,What class is the foreign object located in the top/left relative to the image center? Please provide a class name.,External drain,fo_class,,1.0
heico__2250808,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:59:04,What class is the foreign object located in the bottom/right relative to the image center? Please provide a class name.,Sponge,fo_class,,1.0
heico__2244592,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:59,"At timepoint 00:58:59 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where number represents an enumeration starting with 1, object type is the type of the foreign object and quadrant is one of the following options: top/left, top/right, bottom/left, bottom/right. Respond “none” in case there are no foreign objects present at timepoint 00:58:59. For example: 1. Sponge: top/left 2. Sponge: top/right 3. Needle: bottom/left",1. Clip: top/right,open_ended,,
heico__2262260,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:22:02,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Clip,fo_class,,1.0
heico__2262245,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:20:30,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Sponge,fo_class,,1.0
heico__2267081,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:41,Where is the center of the External drain located relative to the image center in this frame? Please select one answer: top/left; top/right; bottom/left; bottom/right,top/left,multiple_choice,,
heico__2681984,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:21:20,In which abdominal quadrant is the sponge located before becoming not visible for over 1 min? Please provide an abdominal region or quadrant.,(small) pelvis.,open_ended,,
heico__2227320,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:08:25,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,
heico__2226878,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:35,How many different foreign object instances appear in this frame? Please provide a number.,10,number,n_instances_total,
heico__2227050,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:31,How many different foreign object instances appear in this frame? Please provide a number.,11,number,n_instances_total,
heico__2227248,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:19:18,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,
heico__2226989,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:09:55,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,
heico__2227205,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:09:27,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,
heico__2227189,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:10:31,How many different foreign object instances appear in this frame? Please provide a number.,5,number,n_instances_total,
heico__2226930,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:10:59,How many different foreign object instances appear in this frame? Please provide a number.,6,number,n_instances_total,
heico__2227002,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:10:07,How many different foreign object instances appear in this frame? Please provide a number.,7,number,n_instances_total,
heico__2227247,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:11:21,How many different foreign object instances appear in this frame? Please provide a number.,8,number,n_instances_total,
heico__2226959,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:11:41,How many different foreign object instances appear in this frame? Please provide a number.,9,number,n_instances_total,
heico__2227675,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:10:10,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,
heico__2227482,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:21:10,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,
heico__2229468,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:57,How many Clips appear in this frame? Please provide a number.,1,number,n_instances_per_class,
heico__2229817,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:08,How many Clips appear in this frame? Please provide a number.,10,number,n_instances_per_class,
heico__2229840,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:31,How many Clips appear in this frame? Please provide a number.,11,number,n_instances_per_class,
heico__2229479,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:06:47,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,
heico__2229777,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:12:23,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,
heico__2229601,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:09:20,How many Clips appear in this frame? Please provide a number.,4,number,n_instances_per_class,
heico__2229656,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:10:16,How many Clips appear in this frame? Please provide a number.,5,number,n_instances_per_class,
heico__2229811,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:12:57,How many Clips appear in this frame? Please provide a number.,6,number,n_instances_per_class,
heico__2229799,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:12:45,How many Clips appear in this frame? Please provide a number.,7,number,n_instances_per_class,
heico__2229646,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:10:06,How many Clips appear in this frame? Please provide a number.,8,number,n_instances_per_class,
heico__2229815,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:06,How many Clips appear in this frame? Please provide a number.,9,number,n_instances_per_class,
heico__2234452,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:06:42,Do Clips and External drains co-occur in this frame? Please answer with yes or no.,no,binary,,
heico__2234088,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:20:27,Do Clips and Sponges co-occur in this frame? Please answer with yes or no.,yes,binary,,
