qID,dataset,video,_video_key,timestamp_start,question,answer,answer_format,_subtmpl,_nclasses,probe_pred,probe_correct,token_head_pred,token_head_conf,one_split_exact,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,token_head_correct
heico__2227164,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:09,How many different foreign object instances appear in this frame? Please provide a number.,9,number,n_instances_total,,4,False,5,0.574921238466596,False,2.58431350630417e-06,4.0425467886961997e-05,0.0003179709310643375,0.013520468026399612,0.3486974835395813,0.5749049186706543,0.06059453263878822,0.0016147897113114595,0.00023263250477612019,4.580805398290977e-05,0.0,0.0,0.0,False
heico__2227369,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:04:12,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,,1,True,1,0.9991624327359356,True,1.2996371879125945e-05,0.9991600511853582,0.0008040570537559688,1.66876725415932e-05,2.5591373287170427e-06,5.710207346965035e-07,2.6973108901984233e-07,1.0562821728399285e-07,1.7415148079180653e-07,1.4437665640798514e-07,7.985247035728694e-11,1.477122035884377e-11,2.9376081808872016e-11,True
heico__2227843,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:13,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,,1,False,1,0.9932106343834011,True,7.835737051209435e-06,0.9932076332070036,0.006692180410027504,7.913814624771476e-05,7.835737051209435e-06,1.2016492973998538e-06,4.7057261554073193e-07,1.626255397013665e-07,2.5187938490489614e-07,2.6812418241206615e-07,1.229411293545802e-10,3.108438456268145e-11,6.580564173325794e-11,False
heico__2228868,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:04:11,How many Sponges appear in this frame? Please provide a number.,1,number,n_instances_per_class,,1,True,1,0.9937072835292259,True,0.00022910747793503106,0.9937006180455815,0.005908759776502848,0.0001226323947776109,2.1310315787559375e-05,6.105507509346353e-06,2.246090843982529e-06,8.795817620921298e-07,1.060978206623986e-06,5.679006562786526e-07,2.9800686119749775e-09,4.033084221009882e-10,8.538039476807528e-10,True
heico__2229829,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:20,How many Clips appear in this frame? Please provide a number.,10,number,n_instances_per_class,,5,False,5,0.5345649185304904,False,6.952993317099754e-06,0.0001311933738179505,0.00043016645940952003,0.011094138957560062,0.13515427708625793,0.5345455408096313,0.2861216366291046,0.026613455265760422,0.0052405004389584064,0.0006258884677663445,0.0,0.0,0.0,False
heico__2229807,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:12:53,How many Clips appear in this frame? Please provide a number.,11,number,n_instances_per_class,,6,False,6,0.5032987757968833,False,1.2890691323264036e-06,2.2849297238280997e-05,5.777207206847379e-06,1.0793243745865766e-05,8.489543688483536e-05,0.004354305099695921,0.5032892823219299,0.44415122270584106,0.04681319370865822,0.0012475294061005116,0.0,0.0,0.0,False
heico__2229826,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:17,How many Clips appear in this frame? Please provide a number.,12,number,n_instances_per_class,,6,False,6,0.44774742896205144,False,3.3182980132551165e-06,0.00012451822112780064,2.610043520689942e-05,7.094833563314751e-05,0.0007627666345797479,0.022291304543614388,0.4477328360080719,0.4477328360080719,0.07780429720878601,0.0034184823743999004,0.0,0.0,0.0,False
heico__2229592,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:09:08,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,,2,True,2,0.6561402076777763,False,0.0012665673857554793,0.24136504530906677,0.6560981869697571,0.08879323303699493,0.010604838840663433,0.0012665673857554793,0.0003202384104952216,8.619100117357448e-05,9.174984006676823e-05,4.333955075708218e-05,0.0,0.0,0.0,True
heico__2229636,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:09:55,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,,2,False,2,0.8397975459554321,False,0.00011032053589588031,0.10029689967632294,0.8397756218910217,0.053685057908296585,0.005658363923430443,0.00031922306516207755,8.07122269179672e-05,1.4930262295820285e-05,2.312444121344015e-05,9.6397006927873e-06,0.0,0.0,0.0,False
heico__2229553,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:08:29,How many Clips appear in this frame? Please provide a number.,4,number,n_instances_per_class,,3,False,3,0.5792470654962111,False,3.5589505387179088e-06,3.1720577680971473e-05,0.013622330501675606,0.5792362093925476,0.39810284972190857,0.008262360468506813,0.0006782158743590117,2.0480345483520068e-05,1.9239503671997227e-05,4.292913672543364e-06,0.0,0.0,0.0,False
heico__2229498,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:07:13,How many Clips appear in this frame? Please provide a number.,5,number,n_instances_per_class,,3,False,3,0.9308127342947978,False,3.692510290420614e-06,7.894934242358431e-05,0.006271723657846451,0.9308063387870789,0.05950445309281349,0.0029625524766743183,0.00031225071870721877,2.904384382418357e-05,1.8752114556264132e-05,5.372570285544498e-06,0.0,0.0,0.0,False
heico__2229757,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:12:03,How many Clips appear in this frame? Please provide a number.,6,number,n_instances_per_class,,2,False,2,0.4484731189636334,False,2.1672854927601293e-05,0.009307357482612133,0.4484536051750183,0.4484536051750183,0.0779295414686203,0.013542125932872295,0.0018327273428440094,0.000248032680246979,0.00012471865920815617,4.310161602916196e-05,0.0,0.0,0.0,False
heico__2229740,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:11:46,How many Clips appear in this frame? Please provide a number.,7,number,n_instances_per_class,,5,False,5,0.4911383459313084,False,2.073965333693195e-06,1.0532465239521116e-05,1.967723437701352e-05,0.00013658708485309035,0.0037498171441257,0.49112915992736816,0.49112915992736816,0.013088149018585682,0.0006516205612570047,6.451917579397559e-05,0.0,0.0,0.0,False
heico__2229781,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:12:27,How many Clips appear in this frame? Please provide a number.,8,number,n_instances_per_class,,4,False,4,0.4746967939762641,False,4.517294200923061e-06,2.5995233954745345e-05,0.00012401631101965904,0.004653678275644779,0.4746880829334259,0.4746880829334259,0.044152867048978806,0.0013333011884242296,0.00026254254044033587,4.856548912357539e-05,0.0,0.0,0.0,False
heico__2229818,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:09,How many Clips appear in this frame? Please provide a number.,9,number,n_instances_per_class,,4,False,5,0.500564811490222,False,3.9490055314672645e-06,3.3064618037315086e-05,0.0003137083549518138,0.015115316025912762,0.44173428416252136,0.5005505084991455,0.04108768701553345,0.0009662898373790085,0.00013920724450144917,2.7411531846155412e-05,0.0,0.0,0.0,False
heico__2227262,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:54:42,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,,1,True,1,0.9654454382357612,True,4.383081613923423e-05,0.9654377978843292,0.03303546831011772,0.000997584662400186,0.00036699092015624046,6.377345562214032e-05,2.203951771662105e-05,8.107885150820948e-06,1.1796902981586754e-05,4.619734227162553e-06,5.815379874358231e-08,5.75800529955832e-09,1.2189698341607721e-08,True
heico__2227225,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:32,How many different foreign object instances appear in this frame? Please provide a number.,10,number,n_instances_total,,5,False,5,0.6412611273499496,False,2.2449123662227066e-06,2.911246701842174e-05,8.423972030868754e-05,0.0014027172001078725,0.07658576220273972,0.6412447690963745,0.26731058955192566,0.011744807474315166,0.0014027172001078725,0.00016753067029640079,0.0,0.0,0.0,False
heico__2226902,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:30,How many different foreign object instances appear in this frame? Please provide a number.,11,number,n_instances_total,,6,False,6,0.5997775722943497,False,1.3556611975218402e-06,4.217338573653251e-05,9.410154234501533e-06,2.120610952260904e-05,0.00015669311687815934,0.00518896384164691,0.5997626781463623,0.36377444863319397,0.029860423877835274,0.0011578142875805497,0.0,0.0,0.0,False
heico__2227240,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:50,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,,3,False,3,0.39566201188322636,False,3.355794251547195e-05,0.01738344505429268,0.21177372336387634,0.3956453800201416,0.23997105658054352,0.11335430294275284,0.01738344505429268,0.0030207897070795298,0.0011112865759059787,0.000280977226793766,0.0,0.0,0.0,False
heico__2227291,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:21:01,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,,2,False,2,0.6508839286115968,False,1.3958255294710398e-05,0.21130779385566711,0.6508738398551941,0.113104909658432,0.02227167785167694,0.002071588998660445,0.00024741599918343127,3.348411701153964e-05,4.299445208744146e-05,1.6836871509440243e-05,0.0,0.0,0.0,False
heico__2227340,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:20:53,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,,2,False,2,0.8414407529867304,False,5.2214083552826196e-05,0.047469958662986755,0.8414251208305359,0.1004939004778862,0.009347389452159405,0.0009852075017988682,0.0001510864676674828,2.1766070858575404e-05,2.6254892873112112e-05,8.523714313923847e-06,0.0,0.0,0.0,False
heico__2227284,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:21:19,How many different foreign object instances appear in this frame? Please provide a number.,5,number,n_instances_total,,1,False,1,0.8532660125968139,True,2.5010778699652292e-05,0.8532481389854365,0.11547471582889557,0.022738318890333176,0.006514637265354395,0.0012828081380575895,0.0004164668789599091,0.00011209053627680987,0.00011931975313927978,4.6726283471798524e-05,6.261309407867782e-07,6.199535469034274e-08,1.3124418396448887e-07,False
heico__2227322,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:27,How many different foreign object instances appear in this frame? Please provide a number.,6,number,n_instances_total,,3,False,3,0.3544433065558204,False,1.0389177987235598e-05,0.000995519571006298,0.03735659271478653,0.3544294834136963,0.3544294834136963,0.2149723470211029,0.03296707570552826,0.003066415898501873,0.0014484723797068,0.0002852211182471365,0.0,0.0,0.0,False
heico__2226941,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:12:11,How many different foreign object instances appear in this frame? Please provide a number.,7,number,n_instances_total,,6,False,6,0.8533310225697546,False,1.5021265653558658e-06,5.636688365484588e-05,2.6625832106219605e-05,0.00011932870256714523,0.0027159086894243956,0.03749196231365204,0.8533130884170532,0.08993853628635406,0.01562897488474846,0.000686689221765846,0.0,0.0,0.0,False
heico__2227209,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:24,How many different foreign object instances appear in this frame? Please provide a number.,8,number,n_instances_total,,6,False,6,0.6867687157820213,False,2.7243338536209194e-06,0.00014874358021188527,0.00014874358021188527,0.0028065857477486134,0.023499254137277603,0.19675685465335846,0.6867488622665405,0.07238280028104782,0.016150785610079765,0.0013257372193038464,0.0,0.0,0.0,False
heico__2227144,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:06,How many different foreign object instances appear in this frame? Please provide a number.,9,number,n_instances_total,,3,False,4,0.4215818414063414,False,4.5459660213964526e-06,0.00043560692574828863,0.023783333599567413,0.28974032402038574,0.4215696454048157,0.22564998269081116,0.034604545682668686,0.003218723926693201,0.0008138209232129157,0.00015054171672090888,0.0,0.0,0.0,False
heico__2227601,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:52:01,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,,1,True,1,0.9984550693343495,True,8.385155524592847e-06,0.9984536168343751,0.0015011142240837216,2.749387022049632e-05,5.763027274952037e-06,1.0014640565714217e-06,4.4439696011977503e-07,1.9719996657840966e-07,3.054292676551995e-07,2.2345685124491865e-07,1.0246009359845183e-10,2.935530862897831e-11,6.214518513902279e-11,True
heico__2227564,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:41,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,,2,True,2,0.993100030984021,False,2.1087278128106846e-06,0.0066914428025484085,0.9930981993675232,0.00020206406770739704,3.700932438732707e-06,3.233838867799932e-07,1.3480645577601535e-07,4.9592525641628527e-08,7.215669484139653e-08,5.982000317317215e-08,0.0,0.0,0.0,True
heico__2229231,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:54:11,How many Sponges appear in this frame? Please provide a number.,1,number,n_instances_per_class,,1,True,1,0.9969143760659022,True,0.00012302845425438136,0.9969099129456795,0.002800114918500185,0.00012302845425438136,2.7451360438135453e-05,6.125226263975492e-06,2.3986729047464905e-06,1.1330529332553851e-06,1.5486998563574161e-06,7.787351137267251e-07,1.6002673299624094e-09,2.780847857924829e-10,6.670906953179983e-10,True
heico__2229846,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:37,How many Clips appear in this frame? Please provide a number.,10,number,n_instances_per_class,,6,False,6,0.6336388096308135,False,3.435642611293588e-06,6.482582102762535e-05,3.469876173767261e-05,0.00018757974612526596,0.006211787927895784,0.1815350502729416,0.6336195468902588,0.16020411252975464,0.016885388642549515,0.0012231735745444894,0.0,0.0,0.0,False
heico__2229839,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:30,How many Clips appear in this frame? Please provide a number.,11,number,n_instances_per_class,,6,False,6,0.6336960114320682,False,1.524707499811484e-06,2.2405414711101912e-05,6.833265615568962e-06,1.6392152247135527e-05,0.00014610165089834481,0.007039572577923536,0.6336820721626282,0.33918559551239014,0.01913554035127163,0.0007419654284603894,0.0,0.0,0.0,False
heico__2229828,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:19,How many Clips appear in this frame? Please provide a number.,12,number,n_instances_per_class,,6,False,7,0.4860845889979129,False,4.625582732842304e-06,0.00025254825595766306,3.0162587790982798e-05,9.290731395594776e-05,0.0007307726191356778,0.018846875056624413,0.37854960560798645,0.4860673248767853,0.10845628380775452,0.006933377590030432,0.0,0.0,0.0,False
heico__2229778,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:20:12,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,,2,True,2,0.4833994135094439,False,0.024064911529421806,0.10785146057605743,0.48335668444633484,0.29317066073417664,0.0839947909116745,0.006084562744945288,0.0009330979082733393,0.0002082022838294506,0.0001837378804339096,6.349811155814677e-05,0.0,0.0,0.0,True
heico__2229645,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:21:32,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,,2,False,2,0.3314674170460576,False,0.20099613070487976,0.17737846076488495,0.33138659596443176,0.20099613070487976,0.08378764986991882,0.004726975690573454,0.0003424209717195481,5.950384002062492e-05,5.5898686696309596e-05,2.6404668460600078e-05,0.0,0.0,0.0,False
heico__2229491,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:21:19,How many Clips appear in this frame? Please provide a number.,4,number,n_instances_per_class,,2,False,2,0.41764252436559024,False,0.3252292573451996,0.0565163716673851,0.41760262846946716,0.1740826815366745,0.023559529334306717,0.00248315604403615,0.000296570680802688,5.8398236433276907e-05,5.1536258979467675e-05,2.4344004486920312e-05,0.0,0.0,0.0,False
heico__2229570,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:08:46,How many Clips appear in this frame? Please provide a number.,5,number,n_instances_per_class,,4,False,4,0.4594015996696065,False,4.653632913687034e-06,5.6692861107876524e-05,0.0005378868663683534,0.07044928520917892,0.45938700437545776,0.4054076075553894,0.062171269208192825,0.001462128246203065,0.00041890674037858844,7.279507553903386e-05,0.0,0.0,0.0,False
heico__2229847,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:38,How many Clips appear in this frame? Please provide a number.,6,number,n_instances_per_class,,5,False,5,0.6403550952120973,False,5.051848347648047e-06,4.229860860505141e-05,0.00018956922576762736,0.0033601948525756598,0.20788788795471191,0.6403397917747498,0.14287912845611572,0.004314575344324112,0.0008495902875438333,0.00010801328608067706,0.0,0.0,0.0,False
heico__2229837,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:28,How many Clips appear in this frame? Please provide a number.,7,number,n_instances_per_class,,5,False,5,0.5103529603793932,False,8.523450560460333e-06,7.136598287615925e-05,0.0008694157004356384,0.047468483448028564,0.39744874835014343,0.510334312915802,0.041890792548656464,0.001433424185961485,0.0003624263626988977,7.596868817927316e-05,0.0,0.0,0.0,False
heico__2229831,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:22,How many Clips appear in this frame? Please provide a number.,8,number,n_instances_per_class,,5,False,5,0.6114862994977198,False,4.257251930539496e-06,2.9551189072662964e-05,0.0003832255897577852,0.014380435459315777,0.28883877396583557,0.6114716529846191,0.08275368809700012,0.0017174981767311692,0.0003381954156793654,5.8769554016180336e-05,0.0,0.0,0.0,False
heico__2229842,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:33,How many Clips appear in this frame? Please provide a number.,9,number,n_instances_per_class,,6,False,6,0.6075520283321052,False,2.907138650698471e-06,8.495904330629855e-05,2.758216214715503e-05,0.0001491077709943056,0.0021911226212978363,0.05650979280471802,0.607537567615509,0.28698042035102844,0.044009871780872345,0.0024828671012073755,0.0,0.0,0.0,False
heico__2227320,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:08:25,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,,1,True,1,0.9443204326082366,True,3.338836904731579e-05,0.9443077900569422,0.053274206817150116,0.00206566508859396,0.00024670848506502807,3.554173235897906e-05,1.2282893294468522e-05,3.1056019906827714e-06,5.120271907799179e-06,2.7406842946220422e-06,4.7155999376237317e-08,4.970206209171772e-09,9.884434977492138e-09,True
heico__2226878,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:35,How many different foreign object instances appear in this frame? Please provide a number.,10,number,n_instances_total,,5,False,6,0.5798607477630378,False,1.5809407614142401e-06,3.175404344801791e-05,4.620185791281983e-05,0.00046662226668559015,0.01545240730047226,0.35169517993927,0.5798472762107849,0.0475967638194561,0.004427188541740179,0.0004117926873732358,0.0,0.0,0.0,False
heico__2227050,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:31,How many different foreign object instances appear in this frame? Please provide a number.,11,number,n_instances_total,,6,False,6,0.6517494645499955,False,2.0135312297497876e-06,0.00015995460853446275,3.14969292958267e-05,0.00010993508476531133,0.0011103050783276558,0.025270424783229828,0.651732861995697,0.2716826796531677,0.04721137136220932,0.0026634831447154284,0.0,0.0,0.0,False
heico__2227248,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:19:18,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,,3,False,3,0.5067769913606431,False,7.951052793941926e-06,0.003013339824974537,0.27125221490859985,0.5067658424377441,0.1864287555217743,0.028589773923158646,0.0034145612735301256,0.00031760366982780397,0.00015002537111286074,3.793235373450443e-05,0.0,0.0,0.0,False
heico__2226989,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:09:55,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,,2,False,2,0.7405926010755065,False,4.3171559809707105e-05,0.21217824518680573,0.740574836730957,0.04178037494421005,0.004989953711628914,0.00028151393053121865,8.58569037518464e-05,1.3166582903068047e-05,2.0392802980495617e-05,8.500984222337138e-06,0.0,0.0,0.0,False
heico__2227205,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:09:27,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,,2,False,2,0.9144078802404649,False,1.049630645866273e-05,0.0037369439378380775,0.914400041103363,0.07505852729082108,0.006161178927868605,0.00050574034685269,8.78844948601909e-05,1.049630645866273e-05,1.6256999515462667e-05,3.861375262204092e-06,0.0,0.0,0.0,False
heico__2227189,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:10:31,How many different foreign object instances appear in this frame? Please provide a number.,5,number,n_instances_total,,2,False,2,0.9353258959227438,False,1.295057973038638e-05,0.013341575860977173,0.9353167414665222,0.0465666763484478,0.004331375937908888,0.0003137637977488339,7.933191227493808e-05,1.0736407602962572e-05,1.3785818737233058e-05,3.274419213994406e-06,0.0,0.0,0.0,False
heico__2226930,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:10:59,How many different foreign object instances appear in this frame? Please provide a number.,6,number,n_instances_total,,5,False,5,0.5173773602292628,False,4.625059773388784e-06,8.726846863282844e-05,0.0009987347293645144,0.042467281222343445,0.35557422041893005,0.5173574090003967,0.07933933287858963,0.003485926892608404,0.0005345841636881232,0.00011205492774024606,0.0,0.0,0.0,False
heico__2227002,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:10:07,How many different foreign object instances appear in this frame? Please provide a number.,7,number,n_instances_total,,4,False,4,0.5780918909855028,False,2.2932499632588588e-06,3.3699063351377845e-05,0.0003197278128936887,0.02241464890539646,0.5780814290046692,0.35062411427497864,0.04745181277394295,0.0007669871556572616,0.0002490042825229466,3.818604091065936e-05,0.0,0.0,0.0,False
heico__2227247,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:11:21,How many different foreign object instances appear in this frame? Please provide a number.,8,number,n_instances_total,,4,False,4,0.6702133091684074,False,1.6125775346154114e-06,2.36966552620288e-05,0.0016612637555226684,0.13197050988674164,0.6702015995979309,0.19201597571372986,0.003985164221376181,9.372209024149925e-05,2.36966552620288e-05,5.287437943479745e-06,0.0,0.0,0.0,False
