qID,dataset,video,_video_key,_source,timestamp_start,question,answer,answer_format,_subtmpl,_nclasses,fold
heico__18757,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:39:09,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,fo_class,,1,0.0
heico__47531,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:00:08,What class is the foreign object located in the bottom/left relative to the image center? Please provide a class name.,Clip,fo_class,,1,0.0
heico__47526,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:46:23,What class is the foreign object located in the top/right relative to the image center? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__47517,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:39:10,What class is the foreign object located in the top/right relative to the image center? Please provide a class name.,Sponge,fo_class,,1,0.0
heico__59529,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:31,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__8432,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:41,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__16463,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:12,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1,0.0
heico__16921,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:55:43,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,fo_class,,1,0.0
heico__16835,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:00,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__16437,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:09:49,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,fo_class,,1,0.0
heico__18773,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:13,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,fo_class,,1,0.0
heico__19188,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:11,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__18825,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:56:07,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,fo_class,,1,0.0
heico__19117,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:52,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Silicone loop,fo_class,,1,0.0
heico__18752,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:10:08,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,fo_class,,1,0.0
heico__47552,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:42:31,What class is the foreign object located in the bottom/right relative to the image center? Please provide a class name.,Clip,fo_class,,1,0.0
heico__47548,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:44:09,What class is the foreign object located in the bottom/left relative to the image center? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__47514,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:09:39,What class is the foreign object located in the top/right relative to the image center? Please provide a class name.,Sponge,fo_class,,1,0.0
heico__59527,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:31,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__8449,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:05,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__16553,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:01:09,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1,0.0
heico__16800,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:55:55,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,fo_class,,1,0.0
heico__16853,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:47,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__16454,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:39:10,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,fo_class,,1,0.0
heico__18951,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:06:15,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,fo_class,,1,0.0
heico__19215,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:46:52,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__19204,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:56:03,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,fo_class,,1,0.0
heico__19225,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:44:44,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Silicone loop,fo_class,,1,0.0
heico__18759,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:39:16,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,fo_class,,1,0.0
heico__47519,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:25:09,What class is the foreign object located in the top/right relative to the image center? Please provide a class name.,Clip,fo_class,,1,0.0
heico__47527,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:46:29,What class is the foreign object located in the top/right relative to the image center? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__47551,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:39:09,What class is the foreign object located in the bottom/right relative to the image center? Please provide a class name.,Sponge,fo_class,,1,0.0
heico__59526,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:30,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__8461,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:17,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__16749,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:46:28,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1,0.0
heico__16644,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:56:08,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,fo_class,,1,0.0
heico__16794,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:44:17,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__16433,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:09:44,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,fo_class,,1,0.0
heico__19054,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:40:16,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,fo_class,,1,0.0
heico__18960,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:14,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__19039,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:55:57,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,fo_class,,1,0.0
heico__19206,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:44:56,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Silicone loop,fo_class,,1,0.0
heico__18739,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:09:46,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,fo_class,,1,0.0
heico__47537,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:03:11,What class is the foreign object located in the bottom/left relative to the image center? Please provide a class name.,Clip,fo_class,,1,0.0
heico__47528,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:46:34,What class is the foreign object located in the top/right relative to the image center? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__8472,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:29,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__16776,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:10:16,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1,0.0
heico__16927,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:55:49,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,fo_class,,1,0.0
heico__16870,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:46:14,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__16455,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:39:16,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,fo_class,,1,0.0
heico__19149,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:00:26,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,fo_class,,1,0.0
heico__18895,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:18,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__18955,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:55:31,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,fo_class,,1,0.0
heico__19052,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:44:08,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Silicone loop,fo_class,,1,0.0
heico__18736,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:09:40,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,fo_class,,1,0.0
heico__47547,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:46:20,What class is the foreign object located in the bottom/left relative to the image center? Please provide a class name.,Clip,fo_class,,1,0.0
heico__47524,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:46:11,What class is the foreign object located in the top/right relative to the image center? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__8431,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:40,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__16467,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:16,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1,0.0
heico__16909,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:55:31,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,fo_class,,1,0.0
heico__16887,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:46:48,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__16449,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:10:09,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,fo_class,,1,0.0
heico__18770,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:10,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,fo_class,,1,0.0
heico__19151,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:02,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__18945,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:55:32,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,fo_class,,1,0.0
heico__18786,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:58,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Silicone loop,fo_class,,1,0.0
heico__18751,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:10:07,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,fo_class,,1,0.0
heico__47555,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:25:02,What class is the foreign object located in the bottom/right relative to the image center? Please provide a class name.,Clip,fo_class,,1,0.0
heico__47525,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:46:22,What class is the foreign object located in the top/right relative to the image center? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__8415,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:17,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__16503,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:59:47,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1,0.0
