qID,dataset,video,_video_key,timestamp_start,question,answer,answer_format,_subtmpl,_nclasses,probe_pred_set,probe_correct,token_head_answer,token_head_joint_logprob,token_head_mean_logprob,token_head_conf,n_gen_tokens,token_head_correct
heico__2262245,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:20:30,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-0.0028305639735267283,-0.0009435213245089094,0.9990569236517768,3,True
heico__2211496,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:57:45,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0,"Clip,Sponge",True,"Clip, Sponge",-0.003232052346034354,-0.0008080130865085885,0.9991923132681598,4,True
heico__2219993,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:56:27,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1.0,Clip,True,Clip,-0.018799788897665454,-0.009399894448832727,0.9906441464576753,2,True
heico__2219712,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:24,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,fo_class,,1.0,External drain,True,External drain,-0.006869055567780093,-0.002289685189260031,0.9977129341403448,3,True
heico__2219738,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:17:51,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-0.14366963320797704,-0.04788987773599235,0.9532387541075373,3,True
heico__2222067,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:12:10,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,fo_class,,1.0,Clip,True,Clip,-0.026001066563004428,-0.013000533281502214,0.9870836086267176,2,True
heico__2221989,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:11,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0,Sponge,False,Sponge,-0.16092905929653692,-0.053643019765512306,0.9477703814124746,3,False
heico__2221949,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:25:59,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,fo_class,,1.0,External drain,True,External drain,-0.00021024686704975654,-7.008228901658551e-05,0.9999299201666897,3,True
heico__2221991,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:24:34,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,fo_class,,1.0,"Clip,Sponge",False,"Clip, Sponge",-0.3242286440778221,-0.08105716101945552,0.9221409794196206,4,False
heico__2250763,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:22:14,What class is the foreign object located in the bottom/left relative to the image center? Please provide a class name.,Clip,fo_class,,1.0,Clip,True,Clip,-0.0007082332779693574,-0.0003541166389846787,0.999645946052912,2,True
heico__2250866,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:24:49,What class is the foreign object located in the bottom/right relative to the image center? Please provide a class name.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-0.0037673055647525575,-0.0012557685215841858,0.998745019625761,3,True
heico__2262224,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:38,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Clip,fo_class,,1.0,Clip,True,Sponge,-0.43233166171384757,-0.14411055390461586,0.8657920260790148,3,False
heico__2262246,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:20:31,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-0.0007229667352710147,-0.0002409889117570049,0.9997590401237383,3,True
heico__2211540,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:50,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0,"Clip,Sponge",True,"Clip, Sponge",-0.0005371577176809467,-0.00013428942942023668,0.9998657195870015,4,True
heico__2220028,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:56,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1.0,Sponge,False,Sponge,-0.6958016707847037,-0.23193389026156788,0.792998546500309,3,False
heico__2219695,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:25:56,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,fo_class,,1.0,External drain,True,External drain,-1.2159387367413987e-05,-4.053129122471329e-06,0.9999959468790914,3,True
heico__2219594,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:30:03,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,fo_class,,1.0,Clip,False,Clip,-0.4807026966761967,-0.24035134833809835,0.7863515292220756,2,False
heico__2221792,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:20:17,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,fo_class,,1.0,Clip,True,Clip,-0.03560230068734222,-0.01780115034367111,0.9823563541612379,2,True
heico__2221908,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:21:39,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0,Clip,False,Clip,-0.071944362724893,-0.0359721813624465,0.9646671288350767,2,False
heico__2221988,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:25:56,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,fo_class,,1.0,External drain,True,External drain,-0.00010514777863692452,-3.5049259545641506e-05,0.9999649513546724,3,True
heico__2221877,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:30:08,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,fo_class,,1.0,Specimen,False,Specimen,-0.11074357183441584,-0.03691452394480528,0.9637585101040728,3,False
heico__2250692,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:09:40,What class is the foreign object located in the top/left relative to the image center? Please provide a class name.,Clip,fo_class,,1.0,Clip,True,Clip,-0.0006048109420072309,-0.00030240547100361545,0.999697640248922,2,True
heico__2250913,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:28:27,What class is the foreign object located in the bottom/right relative to the image center? Please provide a class name.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-5.6028516511314005e-06,-1.8676172170438e-06,0.999998132384527,3,True
heico__2262232,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:53,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Clip,fo_class,,1.0,Clip,True,Clip,-0.002319875689520871,-0.0011599378447604354,0.9988407346231093,2,True
heico__2262261,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:22:13,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-0.12384505797327768,-0.04128168599109256,0.9595587976042547,3,True
heico__2211575,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:21:15,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0,"Clip,Sponge",True,"Clip, Sponge",-0.0021846083940196877,-0.0005461520985049219,0.9994539970154049,4,True
heico__2219951,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:20:00,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1.0,Clip,True,Clip,-0.6738982543334369,-0.33694912716671843,0.7139451593919405,2,True
heico__2219641,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:04,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,fo_class,,1.0,External drain,True,External drain,-4.148555911300297e-05,-1.3828519704334325e-05,0.9999861715759092,3,True
heico__2219715,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:08:43,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-0.006517679176789036,-0.0021725597255963453,0.9978297985741261,3,True
heico__2222084,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:12:01,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,fo_class,,1.0,Clip,True,Clip,-0.0006447010473284504,-0.0003223505236642252,0.9996777014256837,2,True
heico__2222151,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:56:34,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0,Sponge,False,Sponge,-0.10074836530189954,-0.03358278843396651,0.9669748535837118,3,False
heico__2222060,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:27,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,fo_class,,1.0,External drain,True,External drain,-0.00017107918461958484,-5.7026394873194946e-05,0.9999429752311008,3,True
heico__2221743,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:08:33,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,fo_class,,1.0,"Clip,Sponge",False,"Clip, Sponge",-0.06749237213035188,-0.01687309303258797,0.9832684603357423,4,False
heico__2250754,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:19:47,What class is the foreign object located in the bottom/left relative to the image center? Please provide a class name.,Clip,fo_class,,1.0,Clip,True,Clip,-0.005831149671314709,-0.0029155748356573547,0.997088671324985,2,True
heico__2250791,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:56:50,What class is the foreign object located in the bottom/right relative to the image center? Please provide a class name.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-0.012744528523300219,-0.004248176174433406,0.9957608345617237,3,True
heico__2262265,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:22:24,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Clip,fo_class,,1.0,Clip,True,Sponge,-0.2877949695640924,-0.09593165652136414,0.9085261057814691,3,False
heico__2262239,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:20:24,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-0.014664148278861557,-0.0048880494262871855,0.9951238776460234,3,True
heico__2211480,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:56:19,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0,"Clip,Sponge",True,"Clip, Sponge",-4.55384730696722e-05,-1.138461826741805e-05,0.999988615446537,4,True
heico__2219885,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:57:56,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1.0,Clip,True,Clip,-0.05659297931668662,-0.02829648965834331,0.9721001064418163,2,True
heico__2219569,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:25:59,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,fo_class,,1.0,External drain,True,External drain,-1.2993857645225384e-05,-4.3312858817417945e-06,0.9999956687234982,3,True
heico__2219531,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:03:48,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,fo_class,,1.0,"Clip,External drain",False,External drain,-0.6788399573727232,-0.22627998579090772,0.797494783196516,3,False
heico__2221992,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:20:51,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,fo_class,,1.0,Clip,True,Clip,-0.23567871405445473,-0.11783935702722736,0.8888388268579331,2,True
heico__2222153,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:21:36,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0,Sponge,False,Sponge,-0.028418357777195872,-0.009472785925731957,0.9905719395744236,3,False
heico__2222083,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:13,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,fo_class,,1.0,"External drain,Sponge",False,External drain,-0.1977614480790938,-0.06592048269303126,0.9362053058565748,3,True
heico__2221682,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:04:11,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-0.0035808332019436574,-0.0011936110673145524,0.9988071010030356,3,True
heico__2250726,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:59,What class is the foreign object located in the top/right relative to the image center? Please provide a class name.,Clip,fo_class,,1.0,none,False,Sponge,-0.5821324737483402,-0.1940441579161134,0.8236215340549563,3,False
heico__2250809,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:59:05,What class is the foreign object located in the bottom/right relative to the image center? Please provide a class name.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-0.00026760102047413716,-8.920034015804572e-05,0.999910803638074,3,True
heico__2262204,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:03,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Clip,fo_class,,1.0,"Clip,Sponge",False,Clip,-0.5257894451871725,-0.26289472259358626,0.7688228327245713,2,True
heico__2262244,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:20:29,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-0.0004695560153838628,-0.00015651867179462093,0.9998434935766136,3,True
heico__2211535,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:42,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0,"Clip,Sponge",True,"Clip, Sponge",-0.0002643765661557166,-6.609414153892914e-05,0.9999339080426307,4,True
heico__2219696,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:08:06,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1.0,Clip,True,Clip,-0.4546522559269597,-0.22732612796347984,0.7966609265137774,2,True
