split,dataset,id,primary_capability,answer_format,disposition,rule,question_changed,answer_changed,question,answer,flipped_question,flipped_answer
test,heico,2250729,1a,fo_class,transformable,fixed_quadrant_class,True,False,What class is the foreign object located in the bottom/left relative to the image center? Please provide a class name.,Sponge,What class is the foreign object located in the bottom/right relative to the image center? Please provide a class name.,Sponge
test,heico,2681795,1c,open_ended,invariant,non_spatial,False,False,Is the external drain currently grasped by an instrument? Please answer with 'yes' or 'no'.,No.,Is the external drain currently grasped by an instrument? Please answer with 'yes' or 'no'.,No.
test,heico,2681785,1c,open_ended,invariant,non_spatial,False,False,Which foreign object is partially occluded by an anatomical structure in this frame? Please provide the class name(s) or answer 'none'.,Clip.,Which foreign object is partially occluded by an anatomical structure in this frame? Please provide the class name(s) or answer 'none'.,Clip.
test,heico,2244532,1d,open_ended,transformable,all_object_positions,False,True,"At timepoint 00:03:59 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where number represents an enumeration starting with 1, object type is the type of the foreign object and quadrant is one of the following options: top/left, top/right, bottom/left, bottom/right. Respond “none” in case there are no foreign objects present at timepoint 00:03:59. For example: 1. Sponge: top/left 2. Sponge: top/right 3. Needle: bottom/left",1. Sponge: bottom/left,"At timepoint 00:03:59 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where number represents an enumeration starting with 1, object type is the type of the foreign object and quadrant is one of the following options: top/left, top/right, bottom/left, bottom/right. Respond “none” in case there are no foreign objects present at timepoint 00:03:59. For example: 1. Sponge: top/left 2. Sponge: top/right 3. Needle: bottom/left",1. Sponge: bottom/right
test,heico,2262222,1d,fo_class,invariant,closest_to_image_center,False,False,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Clip,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Clip
test,heico,2262194,1d,fo_class,invariant,closest_to_image_center,False,False,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Sponge,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Sponge
test,heico,2267080,1d,multiple_choice,transformable,object_center_quadrant,False,True,Where is the center of the External drain located relative to the image center in this frame? Please select one answer: top/left; top/right; bottom/left; bottom/right,top/left,Where is the center of the External drain located relative to the image center in this frame? Please select one answer: top/left; top/right; bottom/left; bottom/right,top/right
test,heico,2681979,1e,open_ended,excluded_situs,anatomy_relative,False,False,In which abdominal quadrant is the sponge located before being not visible for >1 min? Please provide an abdominal quadrant.,Lower left abdominal quadrant.,In which abdominal quadrant is the sponge located before being not visible for >1 min? Please provide an abdominal quadrant.,Lower left abdominal quadrant.
test,heico,2681985,1e,open_ended,excluded_situs,anatomy_relative,False,False,Which structure is the sponge in contact with before being not visible for >1 min? Please provide an anatomical structure.,Rectal stump.,Which structure is the sponge in contact with before being not visible for >1 min? Please provide an anatomical structure.,Rectal stump.
test,heico,2226865,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,1,How many different foreign object instances appear in this frame? Please provide a number.,1
test,heico,2227130,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,10,How many different foreign object instances appear in this frame? Please provide a number.,10
test,heico,2226968,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,11,How many different foreign object instances appear in this frame? Please provide a number.,11
test,heico,2227141,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,2,How many different foreign object instances appear in this frame? Please provide a number.,2
test,heico,2227277,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,3,How many different foreign object instances appear in this frame? Please provide a number.,3
test,heico,2227348,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,4,How many different foreign object instances appear in this frame? Please provide a number.,4
test,heico,2226970,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,5,How many different foreign object instances appear in this frame? Please provide a number.,5
test,heico,2227110,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,6,How many different foreign object instances appear in this frame? Please provide a number.,6
test,heico,2226933,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,7,How many different foreign object instances appear in this frame? Please provide a number.,7
test,heico,2227006,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,8,How many different foreign object instances appear in this frame? Please provide a number.,8
test,heico,2227164,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,9,How many different foreign object instances appear in this frame? Please provide a number.,9
test,heico,2227369,3a,number,invariant,non_spatial,False,False,How many different foreign object classes appear in this frame? Please provide a number.,1,How many different foreign object classes appear in this frame? Please provide a number.,1
test,heico,2227843,3a,number,invariant,non_spatial,False,False,How many different foreign object classes appear in this frame? Please provide a number.,2,How many different foreign object classes appear in this frame? Please provide a number.,2
test,heico,2228868,3a,number,invariant,non_spatial,False,False,How many Sponges appear in this frame? Please provide a number.,1,How many Sponges appear in this frame? Please provide a number.,1
test,heico,2229829,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,10,How many Clips appear in this frame? Please provide a number.,10
test,heico,2229807,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,11,How many Clips appear in this frame? Please provide a number.,11
test,heico,2229826,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,12,How many Clips appear in this frame? Please provide a number.,12
test,heico,2229592,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,2,How many Clips appear in this frame? Please provide a number.,2
test,heico,2229636,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,3,How many Clips appear in this frame? Please provide a number.,3
test,heico,2229553,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,4,How many Clips appear in this frame? Please provide a number.,4
test,heico,2229498,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,5,How many Clips appear in this frame? Please provide a number.,5
test,heico,2229757,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,6,How many Clips appear in this frame? Please provide a number.,6
test,heico,2229740,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,7,How many Clips appear in this frame? Please provide a number.,7
test,heico,2229781,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,8,How many Clips appear in this frame? Please provide a number.,8
test,heico,2229818,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,9,How many Clips appear in this frame? Please provide a number.,9
test,heico,2233594,3a,binary,invariant,non_spatial,False,False,Do External drains and Sponges co-occur in this frame? Please answer with yes or no.,no,Do External drains and Sponges co-occur in this frame? Please answer with yes or no.,no
test,heico,2234459,3a,binary,invariant,non_spatial,False,False,Do Clips and Sponges co-occur in this frame? Please answer with yes or no.,yes,Do Clips and Sponges co-occur in this frame? Please answer with yes or no.,yes
test,heico,2245758,3a,binary,invariant,non_spatial,False,False,Are all visible foreign objects in this frame of the same class? Please answer with yes or no.,no,Are all visible foreign objects in this frame of the same class? Please answer with yes or no.,no
test,heico,2245892,3a,binary,invariant,non_spatial,False,False,Are all visible foreign objects in this frame of the same class? Please answer with yes or no.,yes,Are all visible foreign objects in this frame of the same class? Please answer with yes or no.,yes
test,heico,2211542,1a,fo_class,invariant,non_spatial,False,False,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Sponge",Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Sponge"
test,heico,2219582,1a,fo_class,invariant,non_spatial,False,False,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip
test,heico,2219873,1a,fo_class,invariant,non_spatial,False,False,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain
test,heico,2219647,1a,fo_class,invariant,non_spatial,False,False,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge
test,heico,2222091,1a,fo_class,invariant,non_spatial,False,False,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip
test,heico,2222095,1a,fo_class,invariant,non_spatial,False,False,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Sponge",List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Sponge"
test,heico,2222020,1a,fo_class,invariant,non_spatial,False,False,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain
test,heico,2222028,1a,fo_class,invariant,non_spatial,False,False,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge
test,heico,2250751,1a,fo_class,transformable,fixed_quadrant_class,True,False,What class is the foreign object located in the bottom/left relative to the image center? Please provide a class name.,Clip,What class is the foreign object located in the bottom/right relative to the image center? Please provide a class name.,Clip
test,heico,2250719,1a,fo_class,transformable,fixed_quadrant_class,True,False,What class is the foreign object located in the top/left relative to the image center? Please provide a class name.,External drain,What class is the foreign object located in the top/right relative to the image center? Please provide a class name.,External drain
test,heico,2250767,1a,fo_class,transformable,fixed_quadrant_class,True,False,What class is the foreign object located in the bottom/right relative to the image center? Please provide a class name.,Sponge,What class is the foreign object located in the bottom/left relative to the image center? Please provide a class name.,Sponge
test,heico,2681790,1c,open_ended,invariant,non_spatial,False,False,Which foreign object is partially occluded by an anatomical structure in this frame? Please provide the class name(s) or answer 'none'.,Clip.,Which foreign object is partially occluded by an anatomical structure in this frame? Please provide the class name(s) or answer 'none'.,Clip.
test,heico,2244559,1d,open_ended,transformable,all_object_positions,False,True,"At timepoint 00:50:17 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where number represents an enumeration starting with 1, object type is the type of the foreign object and quadrant is one of the following options: top/left, top/right, bottom/left, bottom/right. Respond “none” in case there are no foreign objects present at timepoint 00:50:17. For example: 1. Sponge: top/left 2. Sponge: top/right 3. Needle: bottom/left",1. Sponge: bottom/right,"At timepoint 00:50:17 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where number represents an enumeration starting with 1, object type is the type of the foreign object and quadrant is one of the following options: top/left, top/right, bottom/left, bottom/right. Respond “none” in case there are no foreign objects present at timepoint 00:50:17. For example: 1. Sponge: top/left 2. Sponge: top/right 3. Needle: bottom/left",1. Sponge: bottom/left
test,heico,2262235,1d,fo_class,invariant,closest_to_image_center,False,False,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Clip,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Clip
test,heico,2262249,1d,fo_class,invariant,closest_to_image_center,False,False,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Sponge,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Sponge
test,heico,2267082,1d,multiple_choice,transformable,object_center_quadrant,False,True,Where is the center of the External drain located relative to the image center in this frame? Please select one answer: top/left; top/right; bottom/left; bottom/right,top/left,Where is the center of the External drain located relative to the image center in this frame? Please select one answer: top/left; top/right; bottom/left; bottom/right,top/right
test,heico,2681981,1e,open_ended,excluded_situs,anatomy_relative,False,False,In which abdominal quadrant is the sponge located before being not visible for >1 min? Please provide an anatomical quadrant.,(small) pelvis.,In which abdominal quadrant is the sponge located before being not visible for >1 min? Please provide an anatomical quadrant.,(small) pelvis.
test,heico,2227262,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,1,How many different foreign object instances appear in this frame? Please provide a number.,1
test,heico,2227225,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,10,How many different foreign object instances appear in this frame? Please provide a number.,10
test,heico,2226902,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,11,How many different foreign object instances appear in this frame? Please provide a number.,11
test,heico,2227240,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,2,How many different foreign object instances appear in this frame? Please provide a number.,2
test,heico,2227291,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,3,How many different foreign object instances appear in this frame? Please provide a number.,3
test,heico,2227340,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,4,How many different foreign object instances appear in this frame? Please provide a number.,4
test,heico,2227284,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,5,How many different foreign object instances appear in this frame? Please provide a number.,5
test,heico,2227322,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,6,How many different foreign object instances appear in this frame? Please provide a number.,6
test,heico,2226941,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,7,How many different foreign object instances appear in this frame? Please provide a number.,7
test,heico,2227209,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,8,How many different foreign object instances appear in this frame? Please provide a number.,8
test,heico,2227144,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,9,How many different foreign object instances appear in this frame? Please provide a number.,9
test,heico,2227601,3a,number,invariant,non_spatial,False,False,How many different foreign object classes appear in this frame? Please provide a number.,1,How many different foreign object classes appear in this frame? Please provide a number.,1
test,heico,2227564,3a,number,invariant,non_spatial,False,False,How many different foreign object classes appear in this frame? Please provide a number.,2,How many different foreign object classes appear in this frame? Please provide a number.,2
test,heico,2229231,3a,number,invariant,non_spatial,False,False,How many Sponges appear in this frame? Please provide a number.,1,How many Sponges appear in this frame? Please provide a number.,1
test,heico,2229846,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,10,How many Clips appear in this frame? Please provide a number.,10
test,heico,2229839,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,11,How many Clips appear in this frame? Please provide a number.,11
test,heico,2229828,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,12,How many Clips appear in this frame? Please provide a number.,12
test,heico,2229778,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,2,How many Clips appear in this frame? Please provide a number.,2
test,heico,2229645,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,3,How many Clips appear in this frame? Please provide a number.,3
test,heico,2229491,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,4,How many Clips appear in this frame? Please provide a number.,4
test,heico,2229570,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,5,How many Clips appear in this frame? Please provide a number.,5
test,heico,2229847,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,6,How many Clips appear in this frame? Please provide a number.,6
test,heico,2229837,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,7,How many Clips appear in this frame? Please provide a number.,7
test,heico,2229831,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,8,How many Clips appear in this frame? Please provide a number.,8
test,heico,2229842,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,9,How many Clips appear in this frame? Please provide a number.,9
test,heico,2234352,3a,binary,invariant,non_spatial,False,False,Do Clips and Sponges co-occur in this frame? Please answer with yes or no.,no,Do Clips and Sponges co-occur in this frame? Please answer with yes or no.,no
test,heico,2234534,3a,binary,invariant,non_spatial,False,False,Do Clips and Sponges co-occur in this frame? Please answer with yes or no.,yes,Do Clips and Sponges co-occur in this frame? Please answer with yes or no.,yes
test,heico,2245802,3a,binary,invariant,non_spatial,False,False,Are all visible foreign objects in this frame of the same class? Please answer with yes or no.,no,Are all visible foreign objects in this frame of the same class? Please answer with yes or no.,no
test,heico,2246147,3a,binary,invariant,non_spatial,False,False,Are all visible foreign objects in this frame of the same class? Please answer with yes or no.,yes,Are all visible foreign objects in this frame of the same class? Please answer with yes or no.,yes
test,heico,2211602,1a,fo_class,invariant,non_spatial,False,False,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Sponge",Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Sponge"
test,heico,2219964,1a,fo_class,invariant,non_spatial,False,False,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip
test,heico,2219907,1a,fo_class,invariant,non_spatial,False,False,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain
test,heico,2219777,1a,fo_class,invariant,non_spatial,False,False,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge
test,heico,2221756,1a,fo_class,invariant,non_spatial,False,False,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip
test,heico,2221883,1a,fo_class,invariant,non_spatial,False,False,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Sponge",List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Sponge"
test,heico,2222108,1a,fo_class,invariant,non_spatial,False,False,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain
test,heico,2221712,1a,fo_class,invariant,non_spatial,False,False,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge
test,heico,2250681,1a,fo_class,transformable,fixed_quadrant_class,True,False,What class is the foreign object located in the top/left relative to the image center? Please provide a class name.,Clip,What class is the foreign object located in the top/right relative to the image center? Please provide a class name.,Clip
test,heico,2250720,1a,fo_class,transformable,fixed_quadrant_class,True,False,What class is the foreign object located in the top/left relative to the image center? Please provide a class name.,External drain,What class is the foreign object located in the top/right relative to the image center? Please provide a class name.,External drain
test,heico,2250808,1a,fo_class,transformable,fixed_quadrant_class,True,False,What class is the foreign object located in the bottom/right relative to the image center? Please provide a class name.,Sponge,What class is the foreign object located in the bottom/left relative to the image center? Please provide a class name.,Sponge
test,heico,2244592,1d,open_ended,transformable,all_object_positions,False,True,"At timepoint 00:58:59 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where number represents an enumeration starting with 1, object type is the type of the foreign object and quadrant is one of the following options: top/left, top/right, bottom/left, bottom/right. Respond “none” in case there are no foreign objects present at timepoint 00:58:59. For example: 1. Sponge: top/left 2. Sponge: top/right 3. Needle: bottom/left",1. Clip: top/right,"At timepoint 00:58:59 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where number represents an enumeration starting with 1, object type is the type of the foreign object and quadrant is one of the following options: top/left, top/right, bottom/left, bottom/right. Respond “none” in case there are no foreign objects present at timepoint 00:58:59. For example: 1. Sponge: top/left 2. Sponge: top/right 3. Needle: bottom/left",1. Clip: top/left
test,heico,2262260,1d,fo_class,invariant,closest_to_image_center,False,False,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Clip,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Clip
test,heico,2262245,1d,fo_class,invariant,closest_to_image_center,False,False,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Sponge,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Sponge
test,heico,2267081,1d,multiple_choice,transformable,object_center_quadrant,False,True,Where is the center of the External drain located relative to the image center in this frame? Please select one answer: top/left; top/right; bottom/left; bottom/right,top/left,Where is the center of the External drain located relative to the image center in this frame? Please select one answer: top/left; top/right; bottom/left; bottom/right,top/right
test,heico,2681984,1e,open_ended,excluded_situs,anatomy_relative,False,False,In which abdominal quadrant is the sponge located before becoming not visible for over 1 min? Please provide an abdominal region or quadrant.,(small) pelvis.,In which abdominal quadrant is the sponge located before becoming not visible for over 1 min? Please provide an abdominal region or quadrant.,(small) pelvis.
test,heico,2227320,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,1,How many different foreign object instances appear in this frame? Please provide a number.,1
test,heico,2226878,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,10,How many different foreign object instances appear in this frame? Please provide a number.,10
test,heico,2227050,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,11,How many different foreign object instances appear in this frame? Please provide a number.,11
test,heico,2227248,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,2,How many different foreign object instances appear in this frame? Please provide a number.,2
test,heico,2226989,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,3,How many different foreign object instances appear in this frame? Please provide a number.,3
test,heico,2227205,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,4,How many different foreign object instances appear in this frame? Please provide a number.,4
test,heico,2227189,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,5,How many different foreign object instances appear in this frame? Please provide a number.,5
test,heico,2226930,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,6,How many different foreign object instances appear in this frame? Please provide a number.,6
test,heico,2227002,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,7,How many different foreign object instances appear in this frame? Please provide a number.,7
test,heico,2227247,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,8,How many different foreign object instances appear in this frame? Please provide a number.,8
test,heico,2226959,3a,number,invariant,non_spatial,False,False,How many different foreign object instances appear in this frame? Please provide a number.,9,How many different foreign object instances appear in this frame? Please provide a number.,9
test,heico,2227675,3a,number,invariant,non_spatial,False,False,How many different foreign object classes appear in this frame? Please provide a number.,1,How many different foreign object classes appear in this frame? Please provide a number.,1
test,heico,2227482,3a,number,invariant,non_spatial,False,False,How many different foreign object classes appear in this frame? Please provide a number.,2,How many different foreign object classes appear in this frame? Please provide a number.,2
test,heico,2229468,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,1,How many Clips appear in this frame? Please provide a number.,1
test,heico,2229817,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,10,How many Clips appear in this frame? Please provide a number.,10
test,heico,2229840,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,11,How many Clips appear in this frame? Please provide a number.,11
test,heico,2229479,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,2,How many Clips appear in this frame? Please provide a number.,2
test,heico,2229777,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,3,How many Clips appear in this frame? Please provide a number.,3
test,heico,2229601,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,4,How many Clips appear in this frame? Please provide a number.,4
test,heico,2229656,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,5,How many Clips appear in this frame? Please provide a number.,5
test,heico,2229811,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,6,How many Clips appear in this frame? Please provide a number.,6
test,heico,2229799,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,7,How many Clips appear in this frame? Please provide a number.,7
test,heico,2229646,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,8,How many Clips appear in this frame? Please provide a number.,8
test,heico,2229815,3a,number,invariant,non_spatial,False,False,How many Clips appear in this frame? Please provide a number.,9,How many Clips appear in this frame? Please provide a number.,9
test,heico,2234452,3a,binary,invariant,non_spatial,False,False,Do Clips and External drains co-occur in this frame? Please answer with yes or no.,no,Do Clips and External drains co-occur in this frame? Please answer with yes or no.,no
test,heico,2234088,3a,binary,invariant,non_spatial,False,False,Do Clips and Sponges co-occur in this frame? Please answer with yes or no.,yes,Do Clips and Sponges co-occur in this frame? Please answer with yes or no.,yes
test,heico,2246219,3a,binary,invariant,non_spatial,False,False,Are all visible foreign objects in this frame of the same class? Please answer with yes or no.,no,Are all visible foreign objects in this frame of the same class? Please answer with yes or no.,no
test,heico,2245856,3a,binary,invariant,non_spatial,False,False,Are all visible foreign objects in this frame of the same class? Please answer with yes or no.,yes,Are all visible foreign objects in this frame of the same class? Please answer with yes or no.,yes
test,heico,2211496,1a,fo_class,invariant,non_spatial,False,False,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Sponge",Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Sponge"
