qID,answer_format,distribution,substitute_says,official_says,question,reference,model_answer
heico__2562144,open_ended,OOD,True,False,"At timepoint 01:46:10 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: top/left,1. External drain: bottom/right
heico__2681978,open_ended,OOD,False,True,Which structure is the needle in contact with before becoming not visible for over 1 minute? Please provide an anatomical structure.,Colonic conduit.,Small intestine.
heico__2562180,open_ended,OOD,True,False,"At timepoint 02:09:26 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Needle: top/left,1. Silicone loop: top/left
heico__2562186,open_ended,OOD,True,False,"At timepoint 02:11:02 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Needle: top/left,1. Silicone loop: top/left
heico__2681911,open_ended,OOD,False,True,Which structure is the sponge in contact with before it becomes not visible for over 1 minute? Please provide an anatomical structure.,Descending colon.,Rectum.
heico__2681919,open_ended,OOD,True,False,Which structure is the sponge in contact with before not being visible for over a minute? Please provide an anatomical structure.,Ileum.,Mesorectum.
heico__2649765,open_ended,OOD,True,False,"At timepoint 00:57:21 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: top/left,1. Sponge: bottom/left
heico__2649752,open_ended,OOD,True,False,"At timepoint 01:58:39 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: top/left,1. Sponge: bottom/left
heico__2649406,open_ended,OOD,True,False,"At timepoint 02:44:17 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: bottom/left,1. External drain: bottom/left
heico__2681936,open_ended,OOD,False,True,Where is the sponge located before it becomes invisible for over 1 minute? Please provide an anatomical region or quadrant.,Upper left abdominal quadrant.,(small) pelvis.
heico__2681394,open_ended,OOD,True,False,What is the state of the sponge seen in this timeframe? Please provide a single word describing the condition of the sponge.,Clean.,Blood-soaked.
heico__2681910,open_ended,OOD,False,True,In which abdominal quadrant is the sponge located before disappearing for over 1 minute? Please provide an anatomical location.,Lower left abdominal quadrant.,Small pelvis.
lapchole__5023360,open_ended,ID,True,False,What is the condition of the sponge seen in this frame?,Fresh.,Blood-stained.
lapchole__5024624,open_ended,ID,False,True,"On what structures are the foreign objects in this frame? Only answer if two distinct foreign objects are visible and each is directly in contact with (resting on, attached to, or clipped to) an anato","cystic duct, cystic artery.","Liver, liver."
lapchole__5025173,open_ended,ID,False,True,Which foreign object classes are partially occluded or not fully visible because of an anatomical structure in this frame?,"specimen, clip. Errors: Corrected subject–verb agreement (classes are), improved phrasing (foreign object classes; partially occluded or not fully visible), and adjusted preposition for clarity (in th","specimen, sponge."
lapchole__5023670,open_ended,ID,False,True,Which foreign object class is partially occluded or not fully visible because of an instrument in this frame?,Specimen.,specimen bag.
lapchole__1726841,open_ended,ID,False,True,"At timepoint 00:16:10 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Clip: bottom/left,1. Clip: bottom/left 2. Clip: bottom/left
lapchole__5023121,open_ended,ID,False,True,Which foreign object class is partially occluded (not fully visible) by an anatomical structure in this frame?,specimen bag.,specimen.
lapchole__5022950,open_ended,ID,False,True,Which foreign object class is partially occluded or not fully visible due to an instrument in this frame?,specimen bag.,specimen.
lapchole__5022916,open_ended,ID,False,True,Which foreign object class is partially occluded or not fully visible due to an instrument in this frame?,specimen bag.,specimen.
lapchole__5022541,open_ended,ID,True,False,What is the condition of the sponge seen in this frame?,Fresh.,Blood-soaked.
