qID,with_period,no_period,answer_format,our_answer,ground_truth,correct,changed
lapchole__5023061,True,True,open_ended,No.,No.,True,False
lapchole__5023032,False,False,open_ended,Yes.,No.,False,False
lapchole__5023762,False,False,open_ended,No.,Yes.,False,False
lapchole__5023774,False,False,open_ended,No.,Yes.,False,False
lapchole__5025245,True,True,open_ended,No.,No.,True,False
lapchole__5025253,True,True,open_ended,Yes.,Yes.,True,False
lapchole__5022998,True,True,open_ended,No.,No.,True,False
lapchole__5025254,True,True,open_ended,No.,No.,True,False
lapchole__5023005,False,False,open_ended,No.,Yes.,False,False
lapchole__5025257,False,False,open_ended,No.,yes.,False,False
lapchole__5025261,True,True,open_ended,No.,No.,True,False
lapchole__5025262,True,True,open_ended,No.,No.,True,False
lapchole__5022947,True,True,open_ended,No.,No.,True,False
lapchole__5025264,True,True,open_ended,No.,No.,True,False
lapchole__5022953,True,True,open_ended,No.,No.,True,False
lapchole__5024361,False,False,open_ended,4.,6.,False,False
lapchole__5022910,True,True,open_ended,No.,No.,True,False
lapchole__5022912,True,True,open_ended,No.,No.,True,False
lapchole__5025267,False,False,open_ended,Yes.,"No. Errors: Corrected capitalization (Specimen → specimen; no → No), and improved grammar/wording (added being for proper passive construction).",False,False
lapchole__5025268,True,True,open_ended,No.,No.,True,False
lapchole__5022855,True,True,open_ended,No.,No.,True,False
lapchole__5022861,False,False,open_ended,Yes.,No.,False,False
lapchole__5022865,False,False,open_ended,Yes.,No.,False,False
lapchole__5024329,False,False,open_ended,2.,1.,False,False
lapchole__5022813,True,True,open_ended,Yes.,Yes.,True,False
lapchole__5022819,False,False,open_ended,No.,Yes.,False,False
lapchole__5022763,True,True,open_ended,No.,No.,True,False
lapchole__5022627,True,True,open_ended,Yes.,Yes.,True,False
lapchole__5022630,True,True,open_ended,Yes.,Yes.,True,False
lapchole__5025319,True,True,open_ended,Yes.,Yes.,True,False
lapchole__5025320,False,False,open_ended,Yes.,No.,False,False
lapchole__5022591,True,True,open_ended,Yes.,Yes.,True,False
lapchole__5022543,True,True,open_ended,No.,no.,True,False
lapchole__5022550,True,True,open_ended,No.,No.,True,False
lapchole__5025336,True,True,open_ended,No.,No.,True,False
lapchole__5025340,True,True,open_ended,Yes.,Yes.,True,False
lapchole__5025342,True,True,open_ended,No.,No.,True,False
