qID,video,gold_size,probe_pred,emitted_size,base_correct,corr_correct,oracle_correct,truncatable
heico__2221818,0023 - Heico - Sigma - 4.avi,2,2,1,False,False,False,False
heico__2221877,0023 - Heico - Sigma - 4.avi,1,1,1,False,False,False,False
heico__2221883,0023 - Heico - Sigma - 4.avi,2,1,1,False,False,False,False
heico__2221884,0023 - Heico - Sigma - 4.avi,1,1,2,False,True,True,True
heico__2221908,0023 - Heico - Sigma - 4.avi,2,1,1,False,False,False,False
heico__2221989,0023 - Heico - Sigma - 4.avi,2,1,1,False,False,False,False
heico__2221991,0023 - Heico - Sigma - 4.avi,1,1,1,False,False,False,False
heico__2222083,0023 - Heico - Sigma - 4.avi,1,1,1,False,False,False,False
heico__2222095,0023 - Heico - Sigma - 4.avi,2,1,1,False,False,False,False
heico__2222123,0023 - Heico - Sigma - 4.avi,2,1,1,False,False,False,False
heico__2222151,0023 - Heico - Sigma - 4.avi,2,1,1,False,False,False,False
heico__2222153,0023 - Heico - Sigma - 4.avi,2,2,1,False,False,False,False
heico__2222157,0023 - Heico - Sigma - 4.avi,2,1,1,False,False,False,False
heico__2222158,0023 - Heico - Sigma - 4.avi,2,1,1,False,False,False,False
heico__2222168,0023 - Heico - Sigma - 4.avi,2,1,1,False,False,False,False
heico__2278501,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278502,0024 - Heico - Sigma - 5.avi,2,2,3,False,False,True,True
heico__2278503,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278505,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278507,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278510,0024 - Heico - Sigma - 5.avi,2,2,3,False,False,True,True
heico__2278511,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278512,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278513,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278517,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278519,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278520,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278523,0024 - Heico - Sigma - 5.avi,2,2,3,False,False,True,True
heico__2278525,0024 - Heico - Sigma - 5.avi,2,2,3,False,False,True,True
heico__2278526,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278535,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278543,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278563,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278568,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278578,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278579,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278587,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278592,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2278597,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2298223,0024 - Heico - Sigma - 5.avi,1,1,2,False,False,True,True
heico__2298246,0024 - Heico - Sigma - 5.avi,1,1,2,False,True,True,True
heico__2298247,0024 - Heico - Sigma - 5.avi,2,1,1,False,False,False,False
heico__2298252,0024 - Heico - Sigma - 5.avi,2,1,1,False,False,False,False
heico__2298264,0024 - Heico - Sigma - 5.avi,2,2,1,False,False,False,False
heico__2298304,0024 - Heico - Sigma - 5.avi,1,1,1,False,False,False,False
heico__2298340,0024 - Heico - Sigma - 5.avi,1,1,1,False,False,False,False
heico__2298343,0024 - Heico - Sigma - 5.avi,2,1,1,False,False,False,False
heico__2298353,0024 - Heico - Sigma - 5.avi,2,2,1,False,False,False,False
heico__2298431,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2298436,0024 - Heico - Sigma - 5.avi,1,1,1,False,False,False,False
heico__2298437,0024 - Heico - Sigma - 5.avi,2,1,1,False,False,False,False
heico__2298461,0024 - Heico - Sigma - 5.avi,1,1,1,False,False,False,False
heico__2298463,0024 - Heico - Sigma - 5.avi,2,1,1,False,False,False,False
heico__2298474,0024 - Heico - Sigma - 5.avi,2,1,1,False,False,False,False
heico__2298476,0024 - Heico - Sigma - 5.avi,1,1,1,False,False,False,False
heico__2298486,0024 - Heico - Sigma - 5.avi,1,1,1,False,False,False,False
heico__2298497,0024 - Heico - Sigma - 5.avi,1,2,2,False,False,False,False
heico__2298509,0024 - Heico - Sigma - 5.avi,1,1,1,False,False,False,False
heico__2298529,0024 - Heico - Sigma - 5.avi,1,1,1,False,False,False,False
heico__2298536,0024 - Heico - Sigma - 5.avi,2,1,1,False,False,False,False
heico__2298537,0024 - Heico - Sigma - 5.avi,2,2,3,False,False,True,True
heico__2298539,0024 - Heico - Sigma - 5.avi,1,1,1,False,False,False,False
heico__2298541,0024 - Heico - Sigma - 5.avi,2,2,1,False,False,False,False
heico__2298546,0024 - Heico - Sigma - 5.avi,2,2,1,False,False,False,False
heico__2298556,0024 - Heico - Sigma - 5.avi,1,1,1,False,False,False,False
heico__2298562,0024 - Heico - Sigma - 5.avi,1,1,2,False,False,True,True
heico__2298573,0024 - Heico - Sigma - 5.avi,1,1,1,False,False,False,False
heico__2298597,0024 - Heico - Sigma - 5.avi,1,1,1,False,False,False,False
heico__2298602,0024 - Heico - Sigma - 5.avi,2,1,1,False,False,False,False
heico__2298606,0024 - Heico - Sigma - 5.avi,2,1,1,False,False,False,False
heico__2298642,0024 - Heico - Sigma - 5.avi,1,1,2,False,True,True,True
heico__2298653,0024 - Heico - Sigma - 5.avi,1,1,2,False,True,True,True
heico__2298665,0024 - Heico - Sigma - 5.avi,1,1,1,False,False,False,False
heico__2298670,0024 - Heico - Sigma - 5.avi,1,1,1,False,False,False,False
heico__2298686,0024 - Heico - Sigma - 5.avi,1,2,2,False,False,False,False
heico__2298697,0024 - Heico - Sigma - 5.avi,2,1,1,False,False,False,False
heico__2298709,0024 - Heico - Sigma - 5.avi,1,1,1,False,False,False,False
heico__2298711,0024 - Heico - Sigma - 5.avi,2,2,2,False,False,False,False
heico__2298712,0024 - Heico - Sigma - 5.avi,2,2,1,False,False,False,False
heico__2298714,0024 - Heico - Sigma - 5.avi,2,2,1,False,False,False,False
heico__2298717,0024 - Heico - Sigma - 5.avi,1,1,1,False,False,False,False
heico__2405864,0025 - Heico - Sigma - 6.avi,1,1,1,False,False,False,False
heico__2405869,0025 - Heico - Sigma - 6.avi,1,1,1,False,False,False,False
heico__2405870,0025 - Heico - Sigma - 6.avi,1,1,1,False,False,False,False
heico__2405873,0025 - Heico - Sigma - 6.avi,1,1,1,False,False,False,False
heico__2405874,0025 - Heico - Sigma - 6.avi,1,1,1,False,False,False,False
heico__2405875,0025 - Heico - Sigma - 6.avi,1,1,1,False,False,False,False
heico__2405876,0025 - Heico - Sigma - 6.avi,1,1,1,False,False,False,False
heico__2405877,0025 - Heico - Sigma - 6.avi,1,1,1,False,False,False,False
heico__2405879,0025 - Heico - Sigma - 6.avi,1,1,1,False,False,False,False
heico__2405892,0025 - Heico - Sigma - 6.avi,1,1,1,False,False,False,False
heico__2405899,0025 - Heico - Sigma - 6.avi,1,1,1,False,False,False,False
heico__2405900,0025 - Heico - Sigma - 6.avi,1,1,1,False,False,False,False
heico__2405908,0025 - Heico - Sigma - 6.avi,1,1,1,False,False,False,False
heico__2405933,0025 - Heico - Sigma - 6.avi,1,1,2,False,False,True,True
heico__2405946,0025 - Heico - Sigma - 6.avi,1,1,2,False,False,True,True
heico__2405977,0025 - Heico - Sigma - 6.avi,1,1,1,False,False,False,False
heico__2405978,0025 - Heico - Sigma - 6.avi,1,2,2,False,False,False,False
heico__2405980,0025 - Heico - Sigma - 6.avi,1,1,2,False,False,True,True
heico__2405982,0025 - Heico - Sigma - 6.avi,1,1,1,False,False,False,False
heico__2406000,0025 - Heico - Sigma - 6.avi,1,2,2,False,False,False,False
heico__2406028,0025 - Heico - Sigma - 6.avi,1,2,2,False,False,False,False
heico__2406035,0025 - Heico - Sigma - 6.avi,1,2,2,False,False,False,False
heico__2406044,0025 - Heico - Sigma - 6.avi,1,1,1,False,False,False,False
heico__2406051,0025 - Heico - Sigma - 6.avi,1,2,2,False,False,False,False
heico__2441265,0026 - Heico - Sigma - 7.avi,2,2,2,False,False,False,False
heico__2452373,0026 - Heico - Sigma - 7.avi,1,1,1,False,False,False,False
heico__2452389,0026 - Heico - Sigma - 7.avi,2,1,1,False,False,False,False
heico__2452403,0026 - Heico - Sigma - 7.avi,2,2,1,False,False,False,False
heico__2452405,0026 - Heico - Sigma - 7.avi,2,1,1,False,False,False,False
heico__2452409,0026 - Heico - Sigma - 7.avi,2,1,1,False,False,False,False
heico__2452466,0026 - Heico - Sigma - 7.avi,2,1,1,False,False,False,False
heico__2452510,0026 - Heico - Sigma - 7.avi,2,2,1,False,False,False,False
heico__2452558,0026 - Heico - Sigma - 7.avi,2,1,1,False,False,False,False
heico__2452628,0026 - Heico - Sigma - 7.avi,1,1,1,False,False,False,False
heico__2452670,0026 - Heico - Sigma - 7.avi,1,1,1,False,False,False,False
heico__2452738,0026 - Heico - Sigma - 7.avi,2,1,1,False,False,False,False
heico__2452809,0026 - Heico - Sigma - 7.avi,1,1,1,False,False,False,False
heico__2452840,0026 - Heico - Sigma - 7.avi,1,1,1,False,False,False,False
heico__2511990,0027 - Heico - Sigma - 8.avi,2,2,2,False,False,False,False
heico__2528872,0027 - Heico - Sigma - 8.avi,2,2,1,False,False,False,False
heico__2528939,0027 - Heico - Sigma - 8.avi,1,1,1,False,False,False,False
heico__2528961,0027 - Heico - Sigma - 8.avi,2,1,1,False,False,False,False
heico__2528962,0027 - Heico - Sigma - 8.avi,2,1,1,False,False,False,False
heico__2528971,0027 - Heico - Sigma - 8.avi,2,1,1,False,False,False,False
heico__2529011,0027 - Heico - Sigma - 8.avi,1,1,2,False,False,True,True
heico__2529017,0027 - Heico - Sigma - 8.avi,1,1,1,False,False,False,False
heico__2529038,0027 - Heico - Sigma - 8.avi,1,1,1,False,False,False,False
heico__2529043,0027 - Heico - Sigma - 8.avi,1,1,2,False,True,True,True
heico__2529053,0027 - Heico - Sigma - 8.avi,1,1,1,False,False,False,False
heico__2529084,0027 - Heico - Sigma - 8.avi,1,1,1,False,False,False,False
heico__2529100,0027 - Heico - Sigma - 8.avi,2,1,1,False,False,False,False
heico__2529142,0027 - Heico - Sigma - 8.avi,1,1,1,False,False,False,False
heico__2529157,0027 - Heico - Sigma - 8.avi,2,2,1,False,False,False,False
heico__2529169,0027 - Heico - Sigma - 8.avi,1,1,1,False,False,False,False
heico__2529194,0027 - Heico - Sigma - 8.avi,1,1,1,False,False,False,False
heico__2529200,0027 - Heico - Sigma - 8.avi,2,1,1,False,False,False,False
heico__2529203,0027 - Heico - Sigma - 8.avi,1,1,2,False,True,True,True
heico__2529270,0027 - Heico - Sigma - 8.avi,2,1,1,False,False,False,False
heico__2604353,0028 - Heico - Sigma - 9.avi,2,2,3,False,False,True,True
heico__2604354,0028 - Heico - Sigma - 9.avi,2,2,3,False,False,True,True
heico__2604724,0028 - Heico - Sigma - 9.avi,2,2,2,False,False,False,False
heico__2604725,0028 - Heico - Sigma - 9.avi,2,2,2,False,False,False,False
heico__2604726,0028 - Heico - Sigma - 9.avi,2,2,2,False,False,False,False
heico__2604727,0028 - Heico - Sigma - 9.avi,2,2,2,False,False,False,False
heico__2604728,0028 - Heico - Sigma - 9.avi,2,2,2,False,False,False,False
heico__2604729,0028 - Heico - Sigma - 9.avi,2,2,2,False,False,False,False
heico__2604730,0028 - Heico - Sigma - 9.avi,2,2,2,False,False,False,False
heico__2604731,0028 - Heico - Sigma - 9.avi,2,2,2,False,False,False,False
heico__2604732,0028 - Heico - Sigma - 9.avi,2,2,2,False,False,False,False
heico__2604733,0028 - Heico - Sigma - 9.avi,2,2,2,False,False,False,False
heico__2604734,0028 - Heico - Sigma - 9.avi,2,2,2,False,False,False,False
heico__2604735,0028 - Heico - Sigma - 9.avi,2,2,2,False,False,False,False
heico__2604736,0028 - Heico - Sigma - 9.avi,2,2,2,False,False,False,False
heico__2618254,0028 - Heico - Sigma - 9.avi,1,1,2,False,False,True,True
heico__2618327,0028 - Heico - Sigma - 9.avi,1,1,2,False,False,True,True
heico__2618358,0028 - Heico - Sigma - 9.avi,1,1,1,False,False,False,False
heico__2618386,0028 - Heico - Sigma - 9.avi,2,2,3,False,False,True,True
heico__2618401,0028 - Heico - Sigma - 9.avi,1,1,2,False,False,True,True
heico__2618403,0028 - Heico - Sigma - 9.avi,1,1,2,False,False,True,True
heico__2618434,0028 - Heico - Sigma - 9.avi,1,1,2,False,False,True,True
heico__2618455,0028 - Heico - Sigma - 9.avi,1,1,1,False,False,False,False
heico__2618493,0028 - Heico - Sigma - 9.avi,1,2,2,False,False,False,False
heico__2618587,0028 - Heico - Sigma - 9.avi,2,1,1,False,False,False,False
heico__2618610,0028 - Heico - Sigma - 9.avi,1,1,1,False,False,False,False
heico__2618631,0028 - Heico - Sigma - 9.avi,1,1,1,False,False,False,False
heico__2618647,0028 - Heico - Sigma - 9.avi,2,1,1,False,False,False,False
heico__2618667,0028 - Heico - Sigma - 9.avi,1,1,1,False,False,False,False
heico__2618668,0028 - Heico - Sigma - 9.avi,2,1,1,False,False,False,False
heico__2618729,0028 - Heico - Sigma - 9.avi,1,1,2,False,False,True,True
heico__2618736,0028 - Heico - Sigma - 9.avi,1,1,1,False,False,False,False
heico__1964495,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1964496,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1964498,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1964507,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1964510,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1964529,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1964548,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1964559,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1964570,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1964586,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1964597,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1964598,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1964606,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1964624,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1964676,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1964690,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1975521,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975540,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975565,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975576,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975594,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975602,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975636,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975641,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975652,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975677,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975697,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975701,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975708,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975735,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975746,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975749,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975757,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975772,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975777,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975779,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975780,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975792,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975820,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975823,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975835,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975858,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975865,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1975867,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1975874,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975885,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975896,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1975900,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975903,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1975907,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1975917,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975919,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1975922,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1975923,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1975930,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975934,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975939,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975957,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1975964,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__1975974,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1975981,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1975982,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1975994,0029 - Heico - Sigma - 10.avi,2,2,2,True,True,True,False
heico__1976001,0029 - Heico - Sigma - 10.avi,1,1,1,True,True,True,False
heico__2031428,0020 - Heico - Sigma - 1.avi,2,2,2,True,True,True,False
heico__2031439,0020 - Heico - Sigma - 1.avi,2,2,2,True,True,True,False
heico__2031440,0020 - Heico - Sigma - 1.avi,2,2,2,True,True,True,False
heico__2044974,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045024,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045029,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045034,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045038,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045049,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045073,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045075,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045077,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045092,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045099,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045111,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045123,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045134,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045153,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045162,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045164,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045169,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045174,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045182,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045191,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045199,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045202,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045203,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045206,0020 - Heico - Sigma - 1.avi,1,1,1,True,True,True,False
heico__2045220,0020 - Heico - Sigma - 1.avi,1,2,1,True,True,True,False
